symbol,price,rs_raw,pct_off_high,adv50,vol_pct_chg,price_day_chg,ad_raw,history_days,rs_rating,ad_rating,name,sector,industry,market_cap,last_sale,country,ipo_year,industry_rank,group_grade,eps_q0_growth,eps_q1_growth,eps_annual_growth,eps_stability,sales_growth,eps_source,eps_rating,eps_rs_sum
DK,63.25,9.547002171725952,0.0,1207738.0,22.62593377040385,2.695242479784854,0.012014230705886378,719,96,A-,Delek US Holdings Inc. Common Stock,Energy,Integrated oil Companies,3876437032.0,63.25,United States,2017,4,A+,999.0,999.0,999.0,999.0,0.4239373178394338,reported,96,192
DVA,236.97000122070312,9.042388671208737,0.0,899560.0,-39.33700920449997,1.2649061080084456,0.007345234431367035,719,95,B,DaVita Inc. Common Stock,Health Care,Misc Health and Biotechnology Services,15213474000.0,236.97,United States,,4,A+,43.50000000000001,51.78571428571427,9.328053278557945,0.1439598046078488,5.9567945565248515,reported,91,186
MPC,312.6000061035156,8.09535423178744,0.0,2397222.0,-10.763375273545794,2.2069641540943596,0.005647641056673824,719,93,B,Marathon Petroleum Corporation Common Stock,Energy,Integrated oil Companies,91259392101.0,312.6,United States,,4,A+,999.0,428.57142857142856,999.0,999.0,8.512866072278454,reported,95,188
PSX,206.86000061035156,7.386458322486728,0.0,2603144.0,-9.252042914260606,2.751834435020095,0.0064400032688023585,719,89,B,Phillips 66 Common Stock,Energy,Integrated oil Companies,82937418237.0,206.86,United States,,4,A+,999.0,999.0,999.0,999.0,6.933946763062767,reported,96,185
VLO,309.6499938964844,8.412331961965828,0.0,3136288.0,-15.884638145476437,3.12728429543081,0.006329631241157752,719,93,B,Valero Energy Corporation Common Stock,Energy,Integrated oil Companies,91945235946.0,309.65,United States,,4,A+,374.15730337078645,496.8749999999999,999.0,0.6956442246154815,7.016326260823584,reported,98,191
AMD,495.760009765625,11.150601187920527,-14.658030902444297,32926322.0,-2.6031513632163383,-1.034054507632809,0.0058788979164473235,719,97,B,Advanced Micro Devices Inc. Common Stock,Technology,Semiconductors,808386572791.0,495.76,United States,,6,A+,42.70833333333335,40.36697247706421,22.95199352590913,0.25402358308313217,37.84619521376714,reported,90,187
ASX,38.40999984741211,12.016730854384774,-14.015095296058854,11334380.0,-3.991219634421994,-2.7841015460676077,-0.0008039975073203575,719,98,D,ASE Technology Holding Co. Ltd. American Depositary Shares (each representing Two Common Shares),Technology,Semiconductors,85535182562.0,38.41,Taiwan,2018,6,A+,100.0,61.53846153846153,5.511819868320456,0.2128251907914098,17.21790641369746,reported,90,188
ARW,206.61000061035156,7.552444793514905,-12.017204360882994,717218.0,-39.070129305176394,1.2297865907769268,0.00015911550157587535,719,90,D+,Arrow Electronics Inc. Common Stock,Technology,Electronic Components,10564784583.0,206.61,United States,,8,A+,190.0,47.81144781144779,8.342411503229808,0.31808287496928783,39.030295932634154,reported,88,178
AVT,85.6500015258789,7.3906947483249334,-7.83385209877312,1342898.0,-32.0946192488186,1.0500228494779718,0.0018990594400389593,719,89,C-,Avnet Inc. Common Stock,Technology,Electronic Components,7025362538.0,85.65,United States,,8,A+,76.1904761904762,20.689655172413797,13.491846361759642,0.23851752915996446,33.94567092778881,reported,87,176
BAP,390.5799865722656,7.160233659236688,-2.552334285232649,492834.0,-48.583092887260214,0.8104439683752629,0.005146795769339356,719,88,B-,Credicorp Ltd. Common Stock,Finance,Commercial Banks,36863845374.0,390.58,Peru,,9,A+,25.247524752475254,56.46437994722954,53.47881826097422,0.18220693451903702,11.099374097925075,reported,94,182
