symbol,name,industry,industry_rank,price,pct_off_high,rs_rating,eps_rating,ad_rating
A,Agilent Technologies Inc. Common Stock,Biotechnology: Laboratory Analytical Instruments,4,172.83999633789062,0.0,87,83,B+
AA,Alcoa Corporation Common Stock,Aluminum,,42.68000030517578,-48.9642833651013,36,67,E+
AACG,ATA Creativity Global American Depositary Shares,Other Consumer Services,124,0.8299999833106995,-55.135136615454996,25,42,A+
AADX,Applied Aerospace & Defense Inc. Common Stock,Military/Government/Technical,94,12.739999771118164,-46.582811038374174,16,,E+
AAL,American Airlines Group Inc. Common Stock,Air Freight/Delivery Services,74,13.350000381469727,-26.446277344050074,41,21,D+
AAME,Atlantic American Corporation Common Stock,Life Insurance,17,1.309999942779541,-60.303031463377856,12,,A
AAMI,Acadian Asset Management Inc. Common Stock,Investment Managers,55,93.31999969482422,-3.996001808369365,94,94,B-
AAOI,Applied Optoelectronics Inc. Common Stock,Semiconductors,29,101.02999877929688,-54.71537605766797,95,35,C
AAON,AAON Inc. Common Stock,Industrial Machinery/Components,103,84.2699966430664,-43.04419492480688,31,90,D
AAP,Advance Auto Parts Inc.,Auto & Home Supply Stores,106,41.43000030517578,-33.958779397518654,25,61,E-
AAPG,Ascentage Pharma Group International American Depository Shares,Biotechnology: Pharmaceutical Preparations,81,15.229999542236328,-62.14268029944473,17,,C
AAPL,Apple Inc. Common Stock,Computer Manufacturing,87,335.9200134277344,-1.138040502102633,83,80,B-
AARD,Aardvark Therapeutics Inc. Common Stock,Biotechnology: Pharmaceutical Preparations,81,5.550000190734863,-68.12176772327867,40,26,A-
AAT,American Assets Trust Inc. Common Stock,Real Estate Investment Trusts,60,21.489999771118164,-15.585243331676047,61,46,D+
AAUC,Allied Gold Corporation Common Shares,,,22.049999237060547,-31.115275247523332,45,38,B-
ABAT,American Battery Technology Company Common Stock,Mining & Quarrying of Nonmetallic Minerals (No Fuels),94,2.25,-80.14121787157063,18,7,D+
ABBV,AbbVie Inc. Common Stock,Biotechnology: Pharmaceutical Preparations,81,265.1199951171875,-0.31958720893875414,76,69,B
ABCB,Ameris Bancorp Common Stock,Major Banks,20,81.79000091552734,-12.2142293410617,53,77,D+
ABCL,AbCellera Biologics Inc. Common Shares,Biotechnology: Pharmaceutical Preparations,81,12.649999618530273,-0.6284361868248767,99,7,A
ABEO,Abeona Therapeutics Inc. Common Stock,Biotechnology: Pharmaceutical Preparations,81,5.429999828338623,-27.211798919944663,58,7,E+
ABEV,Ambev S.A. American Depositary Shares (Each representing 1 Common Share),Beverages (Production/Distribution),110,2.9100000858306885,-14.520443469725851,65,77,C
ABG,Asbury Automotive Group Inc Common Stock,Retail-Auto Dealers and Gas Stations,113,179.94000244140625,-29.719172245703042,30,62,E+
ABLV,Able View Global Inc. Class B Ordinary Shares,Other Consumer Services,124,1.1399999856948853,-4.201686480785671,85,,A
ABM,ABM Industries Incorporated Common Stock,Diversified Commercial Services,85,49.540000915527344,-2.094856898337405,75,77,B
ABNB,Airbnb Inc. Class A Common Stock,Diversified Commercial Services,85,151.38999938964844,-20.530184047428644,70,74,E+
ABOS,Acumen Pharmaceuticals Inc. Common Stock,Biotechnology: Biological Products (No Diagnostic Substances),74,2.234999895095825,-33.679526083276436,71,7,C+
ABR,Arbor Realty Trust Common Stock,Real Estate Investment Trusts,60,4.070000171661377,-62.742277086397976,14,41,E
ABSI,Absci Corporation Common Stock,Biotechnology: Commercial Physical & Biological Resarch,7,10.345000267028809,-10.972458098857619,98,7,A
ABT,Abbott Laboratories Common Stock,Biotechnology: Pharmaceutical Preparations,81,101.06999969482422,-23.169551833835158,43,69,B-
ABTC,American Bitcoin Corp. Class A Common Stock,Finance: Consumer Services,74,9.600000381469727,-91.14799386665605,11,17,A-
ABTS,Abits Group Inc Ordinary Shares,Finance: Consumer Services,74,1.2599999904632568,-87.73125672540012,13,,A
ABUS,Arbutus Biopharma Corporation Common Stock,Biotechnology: Pharmaceutical Preparations,81,4.880000114440918,-6.5134040118083885,65,65,B
ABVC,ABVC BioPharma Inc. Common Stock,Biotechnology: Pharmaceutical Preparations,81,1.090000033378601,-66.86929951316229,16,7,A-
ABVX,Abivax SA American Depositary Shares,Biotechnology: Pharmaceutical Preparations,81,94.87000274658203,-34.71199205799495,43,26,E
ABX,Abacus Global Management Inc. Class A Common Stock,Investment Managers,55,8.270000457763672,-31.08332951863607,55,88,E+
ACA,Arcosa Inc. Common Stock,Metal Fabrications,58,146.52000427246094,-0.054571505950828936,81,77,C
ACAD,ACADIA Pharmaceuticals Inc. Common Stock,Biotechnology: Pharmaceutical Preparations,81,22.18000030517578,-27.44520599739797,39,57,E-
ACB,Aurora Cannabis Inc. Common Shares,Medicinal Chemicals and Botanical Products,123,4.159999847412109,-33.22632689123528,77,7,A-
ACCL,Acco Group Holdings Limited Class A Ordinary Shares,Professional Services,47,2.5299999713897705,-43.90244250570618,80,,A+
ACCO,Acco Brands Corporation Common Stock,Publishing,37,4.300000190734863,-2.7149294906731902,79,56,C
ACCS,ACCESS Newswire Inc. Common Stock,Professional Services,47,4.760000228881836,-56.72727064652876,13,46,E
ACDC,ProFrac Holding Corp. Class A Common Stock,Oilfield Services/Equipment,35,4.539999961853027,-43.67245998147317,43,7,C+
ACEL,Accel Entertainment Inc.,Services-Misc. Amusement & Recreation,99,11.039999961853027,-17.673377423762236,40,87,D
ACET,Adicet Bio Inc. Common Stock,Biotechnology: Pharmaceutical Preparations,81,8.270000457763672,-50.3004761952795,51,7,E-
ACFN,Acorn Energy Inc. Common Stock,Military/Government/Technical,94,20.799999237060547,-28.961752905465797,73,7,B+
ACGL,Arch Capital Group Ltd. Common Stock,Property-Casualty Insurers,42,95.0199966430664,-10.762590488893853,55,87,C-
ACH,Accendra Health Inc. Common Stock,Medical Specialities,10,0.7300000190734863,-86.7513613657031,3,31,E-
ACHC,Acadia Healthcare Company Inc. Common Stock,Medical Specialities,10,27.799999237060547,-21.93204504192203,84,44,C-
ACHR,Archer Aviation Inc. Class A Common Stock,Aerospace,120,5.710000038146973,-58.13783068603651,41,7,B+
ACHV,Achieve Life Sciences Inc. Common Shares,Biotechnology: In Vitro & In Vivo Diagnostic Substances,110,7.829999923706055,-8.206328618738546,97,7,B+
ACI,Albertsons Companies Inc. Class A Common Stock,Food Chains,74,11.949999809265137,-36.884347669721926,24,53,D-
ACIC,American Coastal Insurance Corporation Common Stock,Property-Casualty Insurers,42,9.069999694824219,-25.99692209674028,27,69,D
ACIU,AC Immune SA Common Stock,Biotechnology: Pharmaceutical Preparations,81,2.6600000858306885,-33.33333134153234,51,35,A-
ACIW,ACI Worldwide Inc. Common Stock,Computer Software: Prepackaged Software,60,49.619998931884766,-17.547360119210243,63,79,D
ACLS,Axcelis Technologies Inc. Common Stock,Industrial Machinery/Components,103,116.13999938964844,-39.38413586119536,52,67,D
ACM,AECOM Common Stock,Military/Government/Technical,94,58.52000045776367,-55.95066562713992,16,42,E+
ACMR,ACM Research Inc. Class A Common Stock,Industrial Machinery/Components,103,76.18000030517578,-39.963747599016486,88,72,C+
ACN,Accenture plc Class A Ordinary Shares (Ireland),Business Services,66,177.41000366210938,-37.24758689029984,60,75,B-
ACNB,ACNB Corporation Common Stock,Major Banks,20,63.439998626708984,-3.8059112019414587,83,89,B-
ACNT,Ascent Industries Co. Common Stock,Major Chemicals,71,14.640000343322754,-17.660293712368624,60,31,D+
ACOG,Alpha Cognition Inc. Common Stock,,,8.569999694824219,-12.102567232572115,87,7,C+
ACON,Aclarion Inc. Common Stock,Medical Specialities,10,2.630000114440918,-72.85861477470895,18,7,A
ACR,ACRES Commercial Realty Corp. Common Stock,Real Estate Investment Trusts,60,10.960000038146973,-54.40931938123201,11,35,E-
ACRE,Ares Commercial Real Estate Corporation Common Stock,Real Estate Investment Trusts,60,4.150000095367432,-22.438323351585744,42,48,C-
ACRS,Aclaris Therapeutics Inc. Common Stock,Biotechnology: Pharmaceutical Preparations,81,5.380000114440918,-17.6740590656414,94,7,B
ACRV,Acrivon Therapeutics Inc. Common Stock,Biotechnology: Pharmaceutical Preparations,81,2.119999885559082,-29.568109891163108,83,7,A-
ACT,Enact Holdings Inc. Common Stock,Specialty Insurers,66,47.25,-5.632114463774851,73,77,C-
ACTG,Acacia Research Corporation (Acacia Tech) Common Stock,Multi-Sector Companies,60,4.309999942779541,-16.472866855972256,58,66,D+
ACTU,Actuate Therapeutics Inc. Common stock,Biotechnology: Pharmaceutical Preparations,81,0.6200000047683716,-92.33621763814132,3,26,A
ACU,Acme United Corporation. Common Stock,Industrial Machinery/Components,103,63.310001373291016,-0.7991199059415921,90,53,B+
ACVA,ACV Auctions Inc. Class A Common Stock,Business Services,66,10.460000038146973,-0.190834971020315,93,57,A+
ACXP,Acurx Pharmaceuticals Inc. Common Stock,Biotechnology: Pharmaceutical Preparations,81,1.3600000143051147,-83.20987715733483,12,7,B
AD,Array Digital Infrastructure Inc. Common Shares,Telecommunications Equipment,94,34.4900016784668,-21.705053185869794,50,91,D-
ADAG,Adagene Inc. American Depositary Shares,Biotechnology: Pharmaceutical Preparations,81,2.9800000190734863,-37.656906103086406,60,1,D+
ADAM,Adamas Trust Inc. Common Stock,Real Estate Investment Trusts,60,8.140000343322754,-17.660848601521817,69,53,D-
ADBE,Adobe Inc. Common Stock,Computer Software: Prepackaged Software,60,238.92999267578125,-33.69869969388423,45,89,C-
ADC,Agree Realty Corporation Common Stock,Real Estate Investment Trusts,60,67.18000030517578,-16.59724343500789,41,74,D
ADCT,ADC Therapeutics SA Common Shares,Biotechnology: Pharmaceutical Preparations,81,1.2899999618530273,-73.56557517210595,18,7,A-
ADEA,Adeia Inc. Common Stock,Cable & Other Pay Television Services,103,25.010000228881836,-25.350992760680025,71,71,C-
ADGM,Adagio Medical Holdings Inc Common Stock,Medical/Dental Instruments,81,0.20999999344348907,-91.10169479753463,3,17,A+
ADI,Analog Devices Inc. Common Stock,Semiconductors,29,382.6099853515625,-13.851194679584466,78,94,C+
ADIL,Adial Pharmaceuticals Inc Common Stock,Biotechnology: Pharmaceutical Preparations,81,4.440000057220459,-57.71428516932896,90,7,B+
ADM,Archer-Daniels-Midland Company Common Stock,Packaged Foods,113,81.87999725341797,-7.049607608851172,80,70,C-
ADMA,ADMA Biologics Inc Common Stock,Biotechnology: Biological Products (No Diagnostic Substances),74,9.520000457763672,-53.28753263105839,31,92,B
ADNT,Adient plc Ordinary Shares,Auto Parts:O.E.M.,94,17.0,-37.24621666945247,26,49,E+
ADP,Automatic Data Processing Inc. Common Stock,EDP Services,116,263.1099853515625,-7.891388693944956,73,80,C+
ADPT,Adaptive Biotechnologies Corporation Common Stock,Biotechnology: Biological Products (No Diagnostic Substances),74,29.56999969482422,0.0,95,7,A-
ADSE,ADS-TEC ENERGY PLC Ordinary Shares,Industrial Specialties,68,10.949999809265137,-14.984474285927107,49,,B
ADSK,Autodesk Inc. Common Stock,Computer Software: Prepackaged Software,60,211.35000610351562,-34.671731799983455,36,94,D+
ADT,ADT Inc. Common Stock,Diversified Commercial Services,85,6.360000133514404,-25.76622340114686,38,83,E+
ADTN,ADTRAN Holdings Inc. Common Stock,Telecommunications Equipment,94,6.940000057220459,-64.22680312533828,13,70,E+
ADUR,Aduro Clean Technologies Inc. Common Stock,Major Chemicals,71,12.5600004196167,-27.774578145798213,48,26,D
ADUS,Addus HomeCare Corporation Common Stock,Medical/Nursing Services,35,114.05000305175781,-7.087573888588339,68,88,C+
ADV,Advantage Solutions Inc. Class A Common Stock,Business Services,66,33.95000076293945,-27.48825078123077,69,7,C-
ADVB,Advanced Biomed Inc. Common Stock,Medical Specialities,10,6.309999942779541,-66.75447789796911,69,37,A+
ADXN,Addex Therapeutics Ltd American Depositary Shares,Biotechnology: Pharmaceutical Preparations,81,3.4600000381469727,-68.40182558524468,9,,A+
AEBI,Aebi Schmidt Holding AG Common Stock,Auto Manufacturing,137,11.220000267028809,-27.829644432413005,39,82,D
AEC,Anfield Energy Inc. Common Shares,Metal Mining,52,3.5999999046325684,-66.91176593045873,20,26,E+
AEE,Ameren Corporation Common Stock,Power Generation,99,99.19999694824219,-15.564788650626781,42,70,D
AEG,Aegon Ltd. New York Registry Shares,Life Insurance,17,8.8100004196167,-5.02937596141777,75,7,C
AEHL,Antelope Enterprise Holdings Limited Class A Ordinary Shares,Telecommunications Equipment,94,8.960000038146973,-97.84449571881716,4,,A+
AEHR,Aehr Test Systems Common Stock,Electrical Products,12,97.41999816894531,-33.095255984759866,98,66,B+
AEI,Alset Inc. Common Stock (TX),Real Estate,74,0.7540000081062317,-80.20997324330247,8,26,E-
AEIS,Advanced Energy Industries Inc. Common Stock,Industrial Machinery/Components,103,278.0299987792969,-28.489079351214762,58,90,C-
AEM,Agnico Eagle Mines Limited Common Stock,Precious Metals,25,193.8800048828125,-22.760966049005415,74,98,B+
AEMD,Aethlon Medical Inc. Common Stock,Medical/Dental Instruments,81,6.769999980926514,-83.07500004768372,31,7,A+
AENT,Alliance Entertainment Holding Corporation Class A Common Stock,Durable Goods,138,4.880000114440918,-42.111507262405,21,31,A+
AEO,American Eagle Outfitters Inc. Common Stock,Clothing/Shoe/Accessory Stores,116,16.079999923706055,-41.875862540642004,32,86,E
AEON,AEON Biopharma Inc. Class A Common Stock,Biotechnology: Pharmaceutical Preparations,81,0.25999999046325684,-81.42857179349782,5,1,A+
AEP,American Electric Power Company Inc. Common Stock,Electric Utilities: Central,87,117.56999969482422,-14.582804677029937,46,65,D
AER,AerCap Holdings N.V. Ordinary Shares,Diversified Commercial Services,85,145.4199981689453,-6.074062787628465,59,96,C
AERO,Grupo Aeromexico S.A.B. de C.V. American Depositary Shares (each representing ten (10) Common Shares),Air Freight/Delivery Services,74,15.579999923706055,-31.994761992693967,33,42,C+
AERT,Aeries Technology Inc. Class A Ordinary Share,Professional Services,47,7.239999771118164,-1.7639093142408635,92,41,C+
AES,The AES Corporation Common Stock,Electric Utilities: Central,87,14.850000381469727,-11.95944719637555,65,76,C
