symbol,name,industry,industry_rank,price,pct_off_high,rs_rating,eps_rating,ad_rating
A,Agilent Technologies Inc. Common Stock,Biotechnology: Laboratory Analytical Instruments,56,131.4600067138672,-15.871921740259765,54,76,C
AA,Alcoa Corporation Common Stock,Aluminum,,43.97999954223633,-47.511637353274836,40,60,E-
AACB,Artius II Acquisition Inc. Class A Ordinary Shares,,,10.539999961853027,-0.2838196200316001,51,,D
AACG,ATA Creativity Global American Depositary Shares,Other Consumer Services,118,0.9800000190734863,-61.5686259843532,43,38,A
AAL,American Airlines Group Inc. Common Stock,Air Freight/Delivery Services,25,14.979999542236328,-17.465565525728877,69,38,C
AAME,Atlantic American Corporation Common Stock,Life Insurance,19,1.5800000429153442,-55.240791622632955,16,,E
AAMI,Acadian Asset Management Inc. Common Stock,Investment Managers,69,82.79000091552734,-0.5764329853362948,92,79,D-
AAOI,Applied Optoelectronics Inc. Common Stock,Semiconductors,6,102.41000366210938,-54.09681718493884,97,6,E
AAON,AAON Inc. Common Stock,Industrial Machinery/Components,79,111.41999816894531,-24.790819274053245,77,81,D+
AAP,Advance Auto Parts Inc.,Auto & Home Supply Stores,97,53.15999984741211,-18.454622323259805,46,72,D+
AAPG,Ascentage Pharma Group International American Depository Shares,Biotechnology: Pharmaceutical Preparations,87,18.739999771118164,-60.876828446459406,15,,E
AAPL,Apple Inc. Common Stock,Computer Manufacturing,67,333.739990234375,0.0,84,78,B
AARD,Aardvark Therapeutics Inc. Common Stock,Biotechnology: Pharmaceutical Preparations,87,5.860000133514404,-66.3411821661477,22,14,A
AAT,American Assets Trust Inc. Common Stock,Real Estate Investment Trusts,39,25.510000228881836,-1.3152810350889443,83,38,B-
AAUC,Allied Gold Corporation Common Shares,,,20.81999969482422,-34.9578232223194,41,14,E+
ABAT,American Battery Technology Company Common Stock,Metal Mining,123,2.359999895095825,-79.17034500452259,17,12,B+
ABBV,AbbVie Inc. Common Stock,Biotechnology: Pharmaceutical Preparations,87,254.49000549316406,-1.8265524768959263,75,72,A-
ABCB,Ameris Bancorp Common Stock,Major Banks,15,92.30999755859375,-0.9230445714854763,73,82,C+
ABCL,AbCellera Biologics Inc. Common Shares,Biotechnology: Pharmaceutical Preparations,87,6.465000152587891,-20.381770397737398,90,6,A-
ABEO,Abeona Therapeutics Inc. Common Stock,Biotechnology: Pharmaceutical Preparations,87,7.0,-3.9780516237384544,79,6,A-
ABEV,Ambev S.A. American Depositary Shares (Each representing 1 Common Share),Beverages (Production/Distribution),97,3.0299999713897705,-11.409496044366286,68,61,D
ABG,Asbury Automotive Group Inc Common Stock,Retail-Auto Dealers and Gas Stations,93,220.36000061035156,-14.91891868326195,42,61,C+
ABLV,Able View Global Inc. Class B Ordinary Shares,Other Consumer Services,118,1.0099999904632568,-17.886180910464322,86,,A-
ABM,ABM Industries Incorporated Common Stock,Diversified Commercial Services,89,47.58000183105469,-1.6346186377486638,63,64,B
ABNB,Airbnb Inc. Class A Common Stock,Diversified Commercial Services,89,145.97999572753906,-1.9807943955683194,60,55,C
ABOS,Acumen Pharmaceuticals Inc. Common Stock,Biotechnology: Biological Products (No Diagnostic Substances),87,2.25,-33.23441909771086,61,6,A-
ABR,Arbor Realty Trust Common Stock,Real Estate Investment Trusts,39,5.179999828338623,-54.11363609675631,15,37,E
ABSI,Absci Corporation Common Stock,Biotechnology: Commercial Physical & Biological Resarch,22,8.295000076293945,-28.6144564717021,98,6,A
ABT,Abbott Laboratories Common Stock,Biotechnology: Pharmaceutical Preparations,87,100.68000030517578,-24.6032025356826,36,72,B+
ABTC,American Bitcoin Corp. Class A Common Stock,EDP Services,128,5.440000057220459,-96.10454687076259,3,,E-
ABTS,Abits Group Inc Ordinary Shares,Computer Software: Programming Data Processing,120,1.190000057220459,-88.4128529291265,11,,A+
ABUS,Arbutus Biopharma Corporation Common Stock,Biotechnology: Pharmaceutical Preparations,87,4.559999942779541,-12.643675745969285,58,60,B
ABVC,ABVC BioPharma Inc. Common Stock,Biotechnology: Pharmaceutical Preparations,87,1.25,-65.08379813857688,19,6,A-
ABVX,Abivax SA American Depositary Shares,Biotechnology: Pharmaceutical Preparations,87,136.64999389648438,-5.9596750448071445,99,22,B+
ABX,Abacus Global Management Inc. Class A Common Stock,Investment Managers,69,10.359999656677246,-13.666669527689612,89,90,B+
ACA,Arcosa Inc. Common Stock,Metal Fabrications,37,145.00999450683594,-0.220120239302668,87,93,A-
ACAD,ACADIA Pharmaceuticals Inc. Common Stock,Biotechnology: Pharmaceutical Preparations,87,25.600000381469727,-8.766924915513496,66,44,B+
ACB,Aurora Cannabis Inc. Common Shares,Medicinal Chemicals and Botanical Products,134,2.630000114440918,-57.78491000980692,16,13,E
ACCL,Acco Group Holdings Limited Class A Ordinary Shares,Professional Services,75,1.8899999856948853,-58.09312882976343,27,,E-
ACCO,Acco Brands Corporation Common Stock,Publishing,126,4.079999923706055,-6.206896249330374,72,56,B+
ACCS,ACCESS Newswire Inc. Common Stock,Publishing,126,6.559999942779541,-46.96847208189726,19,54,E+
ACDC,ProFrac Holding Corp. Class A Common Stock,Oilfield Services/Equipment,10,4.800000190734863,-41.39193606026757,37,6,E
ACEL,Accel Entertainment Inc.,Services-Misc. Amusement & Recreation,116,12.149999618530273,-9.395974968075738,55,95,D+
ACET,Adicet Bio Inc. Common Stock,Biotechnology: Pharmaceutical Preparations,87,8.119999885559082,-51.20192197476614,29,6,B-
ACFN,Acorn Energy Inc. Common Stock,Military/Government/Technical,99,20.18000030517578,-34.0091551487155,52,6,A
ACGL,Arch Capital Group Ltd. Common Stock,Property-Casualty Insurers,35,101.3499984741211,-1.6592267853494325,58,94,C-
ACH,Accendra Health Inc. Common Stock,Medical Specialities,33,3.4700000286102295,-57.88834799761952,38,29,B-
ACHC,Acadia Healthcare Company Inc. Common Stock,Medical Specialities,33,34.5,0.0,93,39,A-
ACHR,Archer Aviation Inc. Class A Common Stock,Aerospace,104,4.440000057220459,-67.44868075172748,11,6,D-
ACHV,Achieve Life Sciences Inc. Common Shares,Biotechnology: In Vitro & In Vivo Diagnostic Substances,99,6.269999980926514,-3.9816266543346246,92,6,A-
ACI,Albertsons Companies Inc. Class A Common Stock,Food Chains,79,15.109999656677246,-24.83796311230749,32,53,D-
ACIC,American Coastal Insurance Corporation Common Stock,Property-Casualty Insurers,35,10.25,-16.369175961354554,37,77,D+
ACIU,AC Immune SA Common Stock,Biotechnology: Pharmaceutical Preparations,87,2.200000047683716,-44.86215432517891,24,6,E+
ACIW,ACI Worldwide Inc. Common Stock,Computer Software: Prepackaged Software,120,58.06999969482422,-1.0226665976592386,80,57,A-
ACLS,Axcelis Technologies Inc. Common Stock,Industrial Machinery/Components,79,136.4199981689453,-28.79958568725631,89,63,D
ACM,AECOM Common Stock,Military/Government/Technical,99,68.29000091552734,-48.596558328380155,19,84,E+
ACMR,ACM Research Inc. Class A Common Stock,Industrial Machinery/Components,79,83.91999816894531,-33.863977797614034,97,55,B-
ACN,Accenture plc Class A Ordinary Shares (Ireland),Business Services,99,143.57000732421875,-49.21726946733478,16,73,E
ACNB,ACNB Corporation Common Stock,Major Banks,15,60.45000076293945,-2.437053492325847,82,93,B
ACNT,Ascent Industries Co. Common Stock,Steel/Iron Ore,41,15.289999961853027,-14.0045029731788,62,12,E
ACOG,Alpha Cognition Inc. Common Stock,,,8.5,-17.234667759197897,72,6,B
ACON,Aclarion Inc. Common Stock,Medical Specialities,33,2.5799999237060547,-73.37461263745485,13,6,C-
ACR,ACRES Commercial Realty Corp. Common Stock,Real Estate Investment Trusts,39,17.799999237060547,-25.956744762170135,37,39,B+
ACRE,Ares Commercial Real Estate Corporation Common Stock,Real Estate Investment Trusts,39,4.619999885559082,-13.654226279701065,50,44,C-
