symbol,price,rs_raw,pct_off_high,adv50,vol_pct_chg,price_day_chg,ad_raw,history_days,rs_rating,ad_rating,name,sector,industry,market_cap,last_sale,country,ipo_year,industry_rank,group_grade,eps_q0_growth,eps_q1_growth,eps_annual_growth,eps_stability,sales_growth,eps_source,eps_rating,eps_rs_sum
ARW,215.97000122070312,7.183576972991525,-8.031342019032195,578801.24,-20.860224832966836,2.418554664774075,-0.0011286624357048972,721,88,D,Arrow Electronics Inc. Common Stock,Technology,Electronic Components,10994044205.0,215.97,United States,,1,A+,190.0,47.81144781144779,8.342411503229808,0.31808287496928783,31.824628852945807,reported,88,176
AVT,92.05999755859375,7.3038591991916215,-6.661259127832475,1147245.0,-4.7587917140628155,1.3653356836998531,0.0020228510445070144,721,89,C,Avnet Inc. Common Stock,Technology,Electronic Components,7555638447.0,92.06,United States,,1,A+,181.48148148148144,76.1904761904762,15.914278608818,0.3081857680867265,33.94567092778881,reported,93,182
DK,71.86000061035156,8.919632224174375,-3.336018092154547,1426043.74,-0.9927283156125344,-0.7458576024122365,0.009983339089571844,721,95,B+,Delek US Holdings Inc. Common Stock,Energy,Integrated oil Companies,4400144024.0,71.86,United States,2017,2,A+,999.0,999.0,999.0,999.0,47.83332127613398,reported,96,191
MPC,388.8999938964844,9.031754475989002,0.0,2363423.02,-21.539606566072965,0.30693107416195353,0.008606124171196066,721,95,B+,Marathon Petroleum Corporation Common Stock,Energy,Integrated oil Companies,109212750331.0,388.9,United States,,2,A+,347.7272727272727,999.0,999.0,999.0,53.83295363768159,reported,95,190
PSX,255.08999633789062,8.21615533715798,-0.3904877247452365,2694037.1,-15.87513772546043,0.16884970925854503,0.00726401837436045,721,93,B+,Phillips 66 Common Stock,Energy,Integrated oil Companies,101786245462.0,255.09,United States,,2,A+,295.37815126050424,999.0,999.0,999.0,53.05944842901299,reported,95,188
VLO,370.7200012207031,9.135285071480324,0.0,2729092.0,3.891697311779896,0.008092686368477153,0.006457295759700395,721,95,B,Valero Energy Corporation Common Stock,Energy,Integrated oil Companies,106740468342.0,370.72,United States,,2,A+,450.0,374.15730337078645,999.0,0.8075473358800657,48.80390779216434,reported,98,193
DHT,20.8700008392334,7.708295928464022,0.0,3269370.2,60.73768580872241,3.3680053847879643,0.005921930354426957,721,91,B,DHT Holdings Inc.,Consumer Discretionary,Marine Transportation,3360938964.0,20.87,Jersey,2005,4,A+,251.42857142857147,,52.41341375947244,,122.11727298232489,diluted,95,186
ECO,71.43000030517578,10.28687754740836,0.0,497786.22,-25.648604736386627,2.6883306673592733,0.010257273708248249,721,97,B+,Okeanis Eco Tankers Corp. Common Stock,Consumer Discretionary,Marine Transportation,2788959707.0,71.43,,,4,A+,497.43589743589746,334.1463414634147,54.31154503608444,0.5667009888310601,239.39574676115188,reported,97,194
FRO,46.119998931884766,8.558741791626456,0.0,2268997.7,36.09467299151514,1.5411730320545436,0.0047242312700528115,721,94,B-,Frontline Plc Ordinary Shares,Consumer Discretionary,Marine Transportation,10267367641.0,46.12,Bermuda,,4,A+,1573.3333333333333,,-8.373967292582096,,66.93123548026718,diluted,89,183
HSHP,18.350000381469727,8.527045412859312,0.0,334154.56,57.480418642199595,2.342443218881063,0.005247398405855348,721,94,B,Himalaya Shipping Ltd. Common Shares,Consumer Discretionary,Marine Transportation,857862500.0,18.35,,2023,4,A+,999.0,,999.0,,52.72727272727272,diluted,99,193
INSW,104.5,9.077973499612579,0.0,554568.68,33.35300507774799,2.210487268634176,0.0044075315592367855,721,95,B-,International Seaways Inc. Common Stock,Consumer Discretionary,Marine Transportation,5176022000.0,104.5,United States,2016,4,A+,479.41176470588243,387.49999999999994,999.0,0.5707783176542611,77.4736359968156,reported,99,194
LPG,55.20000076293945,8.751297476834134,0.0,624040.76,-3.253434919860043,3.042749817810275,0.006028950651911423,721,94,B,Dorian LPG Ltd. Common Stock,Consumer Discretionary,Marine Transportation,2361603991.0,55.2,United States,2014,4,A+,656.0,158.13953488372096,21.356556814156626,0.7666322418350875,123.10944266519084,reported,94,188
SHIP,18.920000076293945,8.159033268987043,0.0,283835.52,58.3931426200639,2.104691717197338,0.010183179749600023,721,92,B+,Seanergy Maritime Holdings Corp. Common Stock,Consumer Discretionary,Marine Transportation,409962306.0,18.92,Greece,,4,A+,764.2857142857141,,1.706813252715933,,48.58187251527522,diluted,87,179
TNK,93.37000274658203,7.479067097693262,0.0,420396.36,7.807308322079676,1.677012833301017,0.0032593237963762472,721,90,C+,Teekay Tankers Ltd.,Consumer Discretionary,Marine Transportation,3234697021.0,93.37,Bermuda,2007,4,A+,259.44444444444446,,14.775264895537665,,62.972696744050225,diluted,91,181
VBNK,22.40999984741211,7.578983583596354,-5.445362605023318,133896.32,144.75355259950385,8.839240802994697,0.020588151808939886,721,90,A,VersaBank Common Shares,Finance,Commercial Banks,726442717.0,22.41,Canada,,6,A+,47.36842105263159,47.36842105263159,7.820272807754569,0.2509951608040778,27.054646803145427,reported,85,175
CDNA,50.880001068115234,14.000704032573344,-2.82658427231518,1154464.86,13.216352033443425,2.045728931563451,0.01950153706365283,721,98,A,CareDx Inc. Common Stock,Health Care,Medical Specialities,2632237266.0,50.88,United States,2014,9,A+,270.0,240.0,20.884579643362745,999.0,52.22602937274311,reported,87,185
OSCR,32.25,8.602370751514322,-1.556771513013111,5391164.3,-31.559960062801274,0.031012161949983685,0.004368285539086687,721,94,B-,Oscar Health Inc. Class A Common Stock,Health Care,Medical Specialities,9953801250.0,32.25,United States,2021,9,A+,999.0,124.99999999999997,999.0,999.0,70.40201540183209,reported,94,188
CBNA,47.56999969482422,6.994798845922823,-1.9175264024242966,22153.78,-32.79250764429366,1.5368222927495623,0.005497557584580435,481,86,B,Chain Bridge Bancorp Inc. Class A Common Stock,Finance,Major Banks,312145635.0,47.57,,2024,11,A,107.14285714285714,,33.65237424806977,,19.29993136582018,diluted,92,178
SNX,262.6400146484375,7.141766850242969,-9.299458485542722,719589.54,-40.80278042952098,0.041906018227311215,0.000319620471118332,721,87,D+,TD SYNNEX Corporation Common Stock,Technology,Retail: Computer Software & Peripheral Equipment,21000366625.0,262.64,United States,2003,11,A,62.207357859531754,68.92857142857144,6.29621734380883,0.11269696990725273,30.96748596560423,reported,92,179
WTTR,20.059999465942383,7.870480707218412,-9.577424828166691,1791321.34,-38.71747209799891,-0.5453674265517128,0.004592426330248447,721,91,B-,Select Water Solutions Inc. Class A common stock,Energy,Oilfield Services/Equipment,2777925510.0,20.06,United States,2017,14,A,60.0,30.769230769230777,999.0,0.6942693867231162,8.673997501475776,reported,92,183
FTI,79.83999633789062,7.3952741350702444,-0.29970715244288515,3539637.3,-34.62423395753005,-0.29970715244288515,0.0024327517926217086,721,89,C+,TechnipFMC plc Ordinary Share,Consumer Discretionary,Oil and Gas Field Machinery,31310404738.0,79.84,,,18,A,33.8235294117647,93.93939393939394,96.92604543664132,0.3037897488594399,9.010928314987968,reported,94,183
KRT,48.38999938964844,9.887700135967165,-2.831325038179533,143566.26,-30.615313096545115,2.8261750479086523,0.011826019350219489,721,96,A-,Karat Packaging Inc. Common Stock,Industrials,Plastic Products,964495979.0,48.39,United States,2021,18,A,170.37037037037035,,9.444148236910221,,9.93337957511332,diluted,88,184
