symbol,price,rs_raw,pct_off_high,adv50,vol_pct_chg,price_day_chg,ad_raw,history_days,rs_rating,ad_rating,name,sector,industry,market_cap,last_sale,country,ipo_year,industry_rank,group_grade,eps_q0_growth,eps_q1_growth,eps_annual_growth,eps_stability,sales_growth,eps_source,eps_rating,eps_rs_sum
AMD,520.22998046875,13.890747654793735,-10.44567927579443,36699498.5,-51.171471730056474,-5.763972109017046,0.011214979377392298,288,98,B+,Advanced Micro Devices Inc. Common Stock,Technology,Semiconductors,844357622887.0,517.82,United States,,1,A+,42.70833333333335,40.36697247706421,22.95199352590913,0.25402358308313217,37.84619521376714,reported,90,188
ASX,39.93000030517578,13.475697466039666,-10.612411228629416,10912942.16,-33.90684295535568,-7.82548341073388,0.004177243406925084,288,98,C,ASE Technology Holding Co. Ltd. American Depositary Shares (each representing Two Common Shares),Technology,Semiconductors,93240252379.0,41.87,Taiwan,2018,1,A+,100.0,61.53846153846153,5.511819868320456,0.21282519079140985,17.21790641369746,reported,90,188
ESOA,16.8700008392334,7.984897063509392,-12.771454466736298,152533.62,-50.64629030636,0.9575210264937795,-0.002401433093110251,288,90,D-,Energy Services of America Corporation Common Stock,Industrials,Water Sewer Pipeline Comm & Power Line Construction,333261867.0,17.86,United States,,1,A+,999.0,219.99999999999997,999.0,999.0,21.510789810387962,reported,95,185
SIMO,295.80499267578125,15.216823415958704,-12.197982180234156,1142672.76,-58.98755825771151,-7.230443998911218,0.014709348284322233,288,98,A-,Silicon Motion Technology Corporation American Depositary Shares,Technology,Semiconductors,10196425063.0,300.71,Taiwan,2005,1,A+,163.33333333333334,38.46153846153846,5.055546909026742,0.2532754043414205,105.47834130168417,reported,87,185
TSM,436.1400146484375,7.333709326496706,-8.675166371504305,13924081.54,-41.72917634321753,-3.4639973440068417,0.0025555384721235824,288,87,C-,Taiwan Semiconductor Manufacturing Company Ltd.,Technology,Semiconductors,2251772969121.0,434.16,Taiwan,1997,1,A+,64.62264150943396,40.178571428571416,27.197757030247296,0.06228089219574509,35.1323787607557,reported,97,184
AVT,81.44000244140625,7.331745752601404,-12.364142716062798,1461136.9,-77.57602316388012,-1.2369593189317296,0.0017190320219562679,288,87,D+,Avnet Inc. Common Stock,Technology,Electronic Components,6740738977.0,82.18,United States,,5,A+,76.1904761904762,20.689655172413797,13.491846361759642,0.23851752915996444,33.94567092778881,reported,87,174
ALGT,112.9749984741211,7.832516965996794,-5.190504362123471,655117.98,-75.72971512703712,-2.2876701346031814,0.016407101945067174,288,89,A-,Allegiant Travel Company Common Stock,Consumer Discretionary,Air Freight/Delivery Services,2187953204.0,118.67,United States,2006,6,A+,108.28729281767954,35.714285714285715,999.0,999.0,4.771740902965924,reported,88,177
PGC,47.68000030517578,7.674606790495797,-1.3449234455878756,143600.94,-41.959293581225865,-0.334447840513763,0.00782299627127428,288,89,B,Peapack-Gladstone Financial Corporation Common Stock,Finance,Commercial Banks,839496750.0,47.38,United States,,7,A+,86.04651162790698,41.99999999999999,2.89698371135505,0.23438360280493303,28.424216401889225,reported,86,175
VBNK,22.209999084472656,8.267193451687067,-6.365937068268368,91863.6,-63.55466147636278,-1.7256694266113426,0.0327326161354226,288,91,A,VersaBank Common Shares,Finance,Commercial Banks,705085764.0,21.9,Canada,,7,A+,47.36842105263159,47.36842105263159,7.820272807754569,0.25099516080407774,27.054646803145427,reported,86,177
DELL,420.3800048828125,14.476135696115879,-9.781952830312868,9068745.62,-54.11955330598411,2.083539908737775,0.01557637160179938,288,98,A-,Dell Technologies Inc. Class C Common Stock,Technology,Computer Manufacturing,255561943011.0,394.32,United States,2018,13,A,213.5483870967742,45.14925373134328,9.24240097757516,0.2456026314663182,87.53528958850201,reported,91,189
DGII,70.63999938964844,8.311384545252299,-5.750497310320213,371615.4,-51.78617463108364,-3.52362986621364,0.008477040590981767,288,91,B,Digi International Inc. Common Stock,Telecommunications,Computer Communications Equipment,2720213658.0,72.15,United States,1989,13,A,21.56862745098039,12.00000000000001,14.7688952422542,0.041883885320017314,25.109327004966364,reported,87,178
DVA,235.4550018310547,8.627106597290108,-0.1081858536120861,910383.6,-63.951459582532024,-0.1081858536120861,0.009712317041377157,288,92,B,DaVita Inc. Common Stock,Health Care,Misc Health and Biotechnology Services,15081222000.0,234.91,United States,,13,A,43.50000000000001,51.78571428571427,9.328053278557945,0.14395980460784877,5.9567945565248515,reported,90,182
PGNY,31.149900436401367,7.890259575297811,0.0,1569299.26,-67.65671067735035,0.7109606500352639,0.010040573747679261,288,90,B,Progyny Inc. Common Stock,Health Care,Misc Health and Biotechnology Services,2367204221.0,30.22,United States,2019,13,A,70.58823529411762,,29.398934610938454,,1.3782334170683685,diluted,89,179
ECO,53.20000076293945,8.365360761711951,-6.073443968535209,462863.7,-51.11195801269359,-0.2811578546799809,0.0017125271915796145,288,91,D+,Okeanis Eco Tankers Corp. Common Stock,Consumer Discretionary,Marine Transportation,2073661627.0,53.11,,,19,A,497.43589743589746,334.1463414634147,54.31154503608444,0.5667009888310601,112.3144119056663,reported,96,187
FRO,37.40999984741211,8.181376387933568,-12.756532379777653,2986394.7,-59.05648372601251,1.4646078957717412,0.0010916483621545116,288,91,D+,Frontline Plc Ordinary Shares,Consumer Discretionary,Marine Transportation,8181391171.0,36.75,Bermuda,,19,A,1573.3333333333333,,-8.373967292582096,,66.93123548026718,diluted,89,180
HSHP,14.9350004196167,8.498286486117149,-4.130994160925061,315761.16,-32.968956663321094,0.7759833141740557,0.0006997352183186382,288,92,D+,Himalaya Shipping Ltd. Common Shares,Consumer Discretionary,Marine Transportation,661045000.0,14.14,,2023,19,A,999.0,,999.0,,52.72727272727272,diluted,99,191
ALHC,24.774999618530273,7.248594604214981,0.0,6285777.7,-79.08158603827177,0.8754078064457271,0.010557773888431828,288,86,B+,Alignment Healthcare Inc. Common Stock,Health Care,Medical Specialities,4920264987.0,23.8,United States,2021,21,A-,199.99999999999994,999.0,999.0,999.0,33.25648483383895,reported,94,180
CHEF,96.92749786376953,8.100484132217929,0.0,516315.36,-63.032670575595496,2.0396884341219668,0.011218959182686816,288,91,B+,The Chefs' Warehouse Inc. Common Stock,Consumer Discretionary,Food Distributors,3899156885.0,95.62,United States,2011,21,A-,60.00000000000001,23.636363636363637,999.0,0.3462716943286756,11.387034208854502,reported,93,184
VCYT,57.16999816894531,8.569114505254497,-5.488516147129385,1266801.56,-72.72043144626377,-1.4225377672795858,0.016502100255514487,288,92,A-,Veracyte Inc. Common Stock,Health Care,Medical Specialities,4554564291.0,57.08,United States,2013,21,A-,67.74193548387098,47.222222222222236,999.0,999.0,21.488036480218042,reported,87,179
DK,51.900001525878906,8.019831422083321,-2.3334547949036666,1234719.8,-74.12449367054776,-2.020010704485342,0.006729577234749809,288,90,B-,Delek US Holdings Inc. Common Stock,Energy,Integrated oil Companies,3224337585.0,52.61,United States,2017,23,A-,999.0,999.0,999.0,999.0,0.4239373178394338,reported,96,186
HCSG,24.639999389648438,7.160042857540134,-2.0278339428127623,672389.64,-72.14680464142785,0.0812288778770931,0.008338190480929422,288,85,B,Healthcare Services Group Inc. Common Stock,Health Care,Hospital/Nursing Management,1726427082.0,25.15,United States,1983,23,A-,60.8695652173913,,19.893522570529054,,3.3739741143988096,diluted,86,171
LTH,41.45000076293945,7.468154032988068,0.0,3255444.88,-74.28480496957455,0.7780201471287773,0.013256155647255827,288,88,B+,Life Time Group Holdings Inc. Common Stock,Consumer Discretionary,Hotels/Resorts,9084417738.0,40.81,United States,2021,23,A-,7.6923076923076845,25.925925925925924,999.0,0.16968688284499284,11.70739376325171,reported,91,179
MD,27.010000228881836,7.304400255640253,-1.3873646193296896,844163.94,-73.98645102040251,-1.3873646193296896,0.006579018302914695,288,87,B-,Pediatrix Medical Group Inc. Common Stock,Health Care,Hospital/Nursing Management,2197582338.0,26.76,United States,,23,A-,50.0,,34.914370984298706,,3.8914911674037165,diluted,87,174
XHR,20.290000915527344,7.340042941918177,-1.8326025858053097,887705.0,-79.23296590646667,0.5450971689200168,0.006047594151693877,288,87,B-,Xenia Hotels & Resorts Inc. Common Stock,Consumer Discretionary,Hotels/Resorts,1877202742.0,20.35,United States,2015,23,A-,75.00000000000001,66.66666666666669,999.0,999.0,2.2431271566866373,reported,89,176
MYE,30.290000915527344,8.392911392344853,-14.216936455745566,399167.48,-59.54730580757731,-1.0130701375092421,0.019558379803198123,288,92,A-,Myers Industries Inc. Common Stock,Industrials,Plastic Products,1184557936.0,31.54,United States,1983,27,A-,100.0,63.1578947368421,8.94695487524264,0.25365144988183064,1.8018519549444227,reported,90,182
BTSG,68.91100311279297,10.474381199241439,-2.3370103498535966,3460042.94,-62.12627927675371,-2.3370103498535966,0.006326358660080374,288,96,B-,BrightSpring Health Services Inc. Common Stock,Health Care,Medical/Nursing Services,13618575059.0,69.03,United States,2024,29,A-,105.26315789473684,50.000000000000014,99.51673957339646,0.1608207729462772,25.557992709847266,reported,97,193
INNV,11.800000190734863,10.24992523219767,-2.5598635403053405,367101.52,-57.920087064744386,-2.5598635403053405,0.021630075258243574,288,95,A,InnovAge Holding Corp. Common Stock,Health Care,Medical/Nursing Services,1627479352.0,11.99,United States,2021,29,A-,750.0000000000001,999.0,12.344416690101156,999.0,15.494952828891273,reported,86,181
LFST,10.925000190734863,9.306595959795882,-4.418198608553336,5309394.96,-84.14418203312567,-0.5914429639400032,0.01318650269980228,288,94,B+,LifeStance Health Group Inc. Common Stock,Health Care,Medical/Nursing Services,4370894049.0,11.27,United States,2021,29,A-,40.00000000000001,349.99999999999994,999.0,999.0,21.174880619875662,reported,89,183
CAT,919.530029296875,8.321848200323887,-13.651046275181944,3162414.84,-36.59775515093396,-5.1952691460269484,-0.003586107613454464,288,91,E+,Caterpillar Inc. Common Stock,Industrials,Construction/Ag Equipment/Trucks,443837593662.0,963.53,United States,,39,B,30.352941176470587,0.3891050583657678,22.580854070555965,0.07918767634665562,22.219103094954033,reported,86,177
GRC,79.41999816894531,7.973623693448141,-13.429256574781,169986.7,21.618338375884694,-6.904231107969483,-0.0010234952097909747,288,90,D-,Gorman-Rupp Company (The) Common Stock,Industrials,Fluid Controls,2220045027.0,84.06,United States,1971,42,B,47.82608695652174,30.95238095238097,15.566670724808262,0.1460260427462116,7.712811379217801,reported,91,181
