symbol,price,rs_raw,pct_off_high,adv50,vol_pct_chg,price_day_chg,ad_raw,history_days,rs_rating,ad_rating,name,sector,industry,market_cap,last_sale,country,ipo_year,industry_rank,group_grade,eps_q0_growth,eps_q1_growth,eps_annual_growth,eps_stability,sales_growth,eps_source,eps_rating,eps_rs_sum
DK,72.25,9.838643060060797,0.0,1357583.9,-8.190204671696533,2.832333907293405,0.012696763023859,720,96,A-,Delek US Holdings Inc. Common Stock,Energy,Integrated oil Companies,4424024572.0,72.25,United States,2017,1,A+,999.0,999.0,999.0,999.0,47.83332127613398,reported,96,192
MPC,368.8299865722656,8.918106491317642,0.0,2352214.44,-18.471633904262575,1.4551295326522773,0.008151387641172453,720,95,B+,Marathon Petroleum Corporation Common Stock,Energy,Integrated oil Companies,103576597337.0,368.83,United States,,1,A+,347.7272727272727,999.0,999.0,999.0,53.83295363768159,reported,95,190
PSX,244.00999450683594,8.142168869789534,0.0,2763716.9,-37.466641391526025,1.7513852595807622,0.006733368574123499,720,93,B,Phillips 66 Common Stock,Energy,Integrated oil Companies,97365093713.0,244.01,United States,,1,A+,295.37815126050424,999.0,999.0,999.0,53.05944842901299,reported,95,188
VLO,352.3599853515625,9.066840390830498,0.0,2820954.78,-35.04543167473248,1.66478809966768,0.0057944456527643205,720,95,B,Valero Energy Corporation Common Stock,Energy,Integrated oil Companies,101454120158.0,352.36,United States,,1,A+,450.0,374.15730337078645,999.0,0.8075473358800658,48.80390779216434,reported,98,193
AVT,88.62999725341797,6.963887174975261,-10.138903253039944,1217342.72,-29.359580841786283,-3.157779169201258,0.0012970648162292943,720,86,C-,Avnet Inc. Common Stock,Technology,Electronic Components,7274128129.0,88.63,United States,,2,A+,181.48148148148144,76.1904761904762,15.914278608818,0.3081857680867265,33.94567092778881,reported,93,179
DHT,19.65999984741211,7.321661254552976,-1.6508250499474353,3406852.56,-42.198026908449485,1.6020643918914335,0.0036128918251573904,720,89,C+,DHT Holdings Inc.,Consumer Discretionary,Marine Transportation,3166078583.0,19.66,Jersey,2005,7,A+,251.42857142857147,,52.41341375947244,,122.11727298232489,diluted,95,184
ECO,66.86000061035156,9.571496017258486,0.0,520991.0,0.740703774153495,0.7838473035367555,0.009326535905822868,720,96,B+,Okeanis Eco Tankers Corp. Common Stock,Consumer Discretionary,Marine Transportation,2610525633.0,66.86,,,7,A+,497.43589743589746,334.1463414634147,54.31154503608444,0.5667009888310601,239.39574676115188,reported,97,193
FRO,44.189998626708984,8.215782037716535,-0.5849316800175308,2464756.98,34.53046393239143,1.0057111467633995,0.0037737281565880135,720,93,B-,Frontline Plc Ordinary Shares,Consumer Discretionary,Marine Transportation,9837705465.0,44.19,Bermuda,,7,A+,1573.3333333333333,,-8.373967292582096,,66.93123548026718,diluted,89,182
HSHP,16.700000762939453,8.096088622000872,0.0,319419.52,-28.972405944383116,2.4539972061436766,0.000873382345099329,720,92,C-,Himalaya Shipping Ltd. Common Shares,Consumer Discretionary,Marine Transportation,780725000.0,16.7,,2023,7,A+,999.0,,999.0,,52.72727272727272,diluted,99,191
INSW,98.80999755859375,8.66450564291927,-1.1405697093105127,565668.0,-18.06147775727105,-0.4533594277170261,0.002312460719829193,720,94,C,International Seaways Inc. Common Stock,Consumer Discretionary,Marine Transportation,4894188840.0,98.81,United States,2016,7,A+,387.49999999999994,172.22222222222226,29.603501414552326,0.49001243763692764,77.4736359968156,reported,96,190
KRT,49.11000061035156,10.118176062030626,-1.3855394322887737,150241.34,-47.1736607248045,-1.3855394322887737,0.01478165342902211,720,96,A-,Karat Packaging Inc. Common Stock,Industrials,Plastic Products,978846818.0,49.11,United States,2021,7,A+,170.37037037037035,,9.444148236910221,,9.93337957511332,diluted,88,184
LPG,49.779998779296875,7.7974101589608384,-3.0007812250292254,664880.34,-60.21584876460627,1.0146104147430668,0.0025267259213700415,720,91,C,Dorian LPG Ltd. Common Stock,Consumer Discretionary,Marine Transportation,2129721860.0,49.78,United States,2014,7,A+,656.0,158.13953488372096,21.356556814156626,0.7666322418350875,123.10944266519084,reported,94,185
MYE,32.79999923706055,8.222662693075069,-10.724012687553774,490237.02,-41.85445236265512,-1.47191848900865,0.007320610845144396,720,93,B,Myers Industries Inc. Common Stock,Industrials,Plastic Products,1233872696.0,32.8,United States,1983,7,A+,100.0,63.1578947368421,8.94695487524264,0.2536514498818306,9.783620858655166,reported,90,183
SHIP,17.790000915527344,7.772449916187209,-2.09135475603206,262732.32,-7.047598864121474,0.7361328948951584,0.008648575400400975,720,91,B+,Seanergy Maritime Holdings Corp. Common Stock,Consumer Discretionary,Marine Transportation,385477242.0,17.79,Greece,,7,A+,764.2857142857141,,1.706813252715933,,48.58187251527522,diluted,87,178
TNK,88.69999694824219,7.1036104616575155,-3.59744061638807,406889.84,-15.409045357338002,0.5668934436510398,0.00029884073815688504,720,88,D+,Teekay Tankers Ltd.,Consumer Discretionary,Marine Transportation,3072910205.0,88.7,Bermuda,2007,7,A+,259.44444444444446,,14.775264895537665,,62.972696744050225,diluted,91,179
SNX,253.97000122070312,6.978143184422219,-12.293575409750712,810577.84,-70.12106819993993,-2.36804810920771,0.0003641041014422418,720,87,D+,TD SYNNEX Corporation Common Stock,Technology,Retail: Computer Software & Peripheral Equipment,20307124245.0,253.97,United States,2003,9,A+,62.207357859531754,68.92857142857144,6.29621734380883,0.11269696990725268,30.96748596560423,reported,92,179
CDNA,49.790000915527344,13.545757686288182,-4.908326327093526,1181748.96,-0.42318294064755957,-4.908326327093526,0.02285924354351592,720,98,A,CareDx Inc. Common Stock,Health Care,Medical Specialities,2575846963.0,49.79,United States,2014,11,A,270.0,240.0,20.884579643362745,999.0,52.22602937274311,reported,86,184
OSCR,30.469999313354492,8.58673721473797,-6.9902293208406245,5574743.44,-7.097572188900592,1.3976708384603187,0.0024014577653177294,720,94,C,Oscar Health Inc. Class A Common Stock,Health Care,Medical Specialities,9404413150.0,30.47,United States,2021,11,A,999.0,124.99999999999997,999.0,999.0,70.40201540183209,reported,94,188
WTTR,19.280000686645508,7.9023408861241595,-13.09335205312271,1847763.2,-26.69731705880927,-1.3306049984635804,0.004170377854427521,720,92,B-,Select Water Solutions Inc. Class A common stock,Energy,Oilfield Services/Equipment,2669910460.0,19.28,United States,2017,12,A,60.0,30.769230769230777,999.0,0.6942693867231162,-2.25063036881918,reported,92,184
