symbol,price,rs_raw,pct_off_high,adv50,vol_pct_chg,price_day_chg,ad_raw,history_days,rs_rating,ad_rating,name,sector,industry,market_cap,last_sale,country,ipo_year,industry_rank,group_grade,eps_q0_growth,eps_q1_growth,eps_annual_growth,eps_stability,sales_growth,eps_source,eps_rating,eps_rs_sum
FNRN,18.299999237060547,7.047031208385987,-1.7185906968306353,213291.6,-23.35375607853286,1.9498521406401181,0.00032228055859732257,721,88,D+,First Northern Community Bancorp Common stock,Finance,Savings Institutions,300248210.0,18.3,United States,,10,A+,72.56503544773436,,13.369638718613208,,9.488750147249382,diluted,85,173
ACNB,62.099998474121094,6.7289403392525955,-1.2090393395658205,67906.46,122.39857592340991,-1.2090393395658205,0.006991246495464607,721,86,B+,ACNB Corporation Common Stock,Finance,Major Banks,634167932.0,62.1,United States,,12,A,65.82278481012658,56.976744186046524,16.824480241400884,0.19702907695321578,19.00857793079302,reported,93,179
ALRS,32.70000076293945,7.002289213349673,0.0,226925.28,-10.118431934952332,1.6475058258031527,0.006272081741964964,721,88,B+,Alerus Financial Corporation Common Stock,Finance,Major Banks,821706724.0,32.7,United States,2019,12,A,71.15384615384615,93.18181818181817,0.3236313636032273,0.2520589480078436,9.957071484037332,reported,86,174
BNY,158.91000366210938,6.8196325645267555,-2.118880389331723,4018546.98,-58.207555906189754,-0.7494828203533199,0.0033924834964559575,721,87,B-,The Bank of New York Mellon Corporation Common Stock,Finance,Major Banks,109072494041.0,158.91,United States,,12,A,26.804123711340207,42.405063291139236,16.33874037023062,0.0469950123888539,13.846810326434818,reported,94,181
BPOP,171.72999572753906,6.689398365646522,-1.2421666971596745,538160.64,-14.870771671447402,0.4974197216985443,0.0025689389907409847,721,85,C+,Popular Inc. Common Stock,Finance,Major Banks,11083060767.0,171.73,United States,,12,A,40.776699029126206,47.656249999999986,8.226754205002518,0.064126092128058,10.674323530269755,reported,93,178
BWFG,62.209999084472656,6.915475171046914,0.0,72795.32,-14.464281495019193,2.707610034524355,0.006400203096185053,721,87,B+,Bankwell Financial Group Inc. Common Stock,Finance,Major Banks,496011528.0,62.21,United States,2014,12,A,32.17391304347827,62.06896551724137,18.914346296639817,0.6884879087299374,28.24657418013661,reported,85,172
TRGP,281.3299865722656,7.47523865921145,-1.4881995237171597,1215526.98,-30.24021564704389,-1.4881995237171597,0.001214511467109849,721,91,C-,Targa Resources Inc. Common Stock,Utilities,Natural Gas Distribution,60385769231.0,281.33,United States,2010,12,A,46.03174603174603,47.802197802197796,61.1176469021258,0.07639346282310783,-10.233475830318973,reported,98,189
UVSP,44.099998474121094,6.6140262196482205,-2.4552104243080852,225880.46,61.467264587649595,-0.18108155387521752,0.0031409569472600845,721,85,C+,Univest Financial Corporation Common Stock,Finance,Major Banks,1227999868.0,44.1,United States,,12,A,34.24657534246575,21.53846153846154,4.067191902758016,0.07270571492112188,10.426031617758474,reported,86,171
AMD,521.9500122070312,10.958769563509186,-10.149586624988217,30037791.92,-9.822612553739274,-3.2870703837618365,0.005833128313201604,721,98,B,Advanced Micro Devices Inc. Common Stock,Technology,Semiconductors,851092003526.0,521.95,United States,,15,A,42.70833333333335,40.36697247706421,22.95199352590913,0.25402358308313217,37.84619521376714,reported,91,189
PARR,77.38999938964844,9.152250370315356,-3.743783680478685,976342.96,-12.382427584667576,-0.2834701958162045,0.006918969246699492,721,96,B+,Par Pacific Holdings Inc.  Common Stock,Energy,Oil & Gas Production,3880665597.0,77.39,United States,,17,A,999.0,,5.601433675539913,,4.510737887355906,diluted,91,187
VIST,69.5,6.875446550344321,-12.302839116719245,935247.38,36.9123322216631,0.6371306935435861,0.0035651279914839726,721,87,B-,Vista Energy S.A.B. de C.V. American Depositary Shares each representing one series A share with no par value,Energy,Oil & Gas Production,7248829359.0,69.5,Mexico,2019,17,A,0.19317450096587985,78.93617021276596,999.0,0.5461662925347247,97.28593062929917,reported,88,175
DVA,235.44000244140625,8.583394143435822,-0.775453619081512,790365.28,-44.47326937235907,0.4994229511280368,0.005652006297348374,721,95,B,DaVita Inc. Common Stock,Health Care,Misc Health and Biotechnology Services,15115248000.0,235.44,United States,,21,A-,43.50000000000001,51.78571428571427,9.328053278557945,0.1439598046078488,5.9567945565248515,reported,91,186
CHEF,94.86000061035156,7.454247457390437,-7.327080847283163,510927.38,-23.713424792384387,0.40219860279047115,0.008764175385760306,721,91,A-,The Chefs' Warehouse Inc. Common Stock,Consumer Discretionary,Food Distributors,3868165887.0,94.86,United States,2011,23,A-,60.00000000000001,23.636363636363637,999.0,0.34627169432867566,11.387034208854502,reported,94,185
MYE,31.440000534057617,8.532122422437137,-10.960069919908644,435008.7,-36.29207875612603,1.5503923248683105,0.012210540341689481,721,95,A-,Myers Industries Inc. Common Stock,Industrials,Plastic Products,1180802204.0,31.44,United States,1983,23,A-,100.0,63.1578947368421,8.94695487524264,0.2536514498818306,1.8018519549444227,reported,90,185
HG,36.15999984741211,7.008088711119864,0.0,493271.64,-31.988386763933963,3.6697211585436484,0.005421558095684972,676,88,B,Hamilton Insurance Group Ltd. Class B Common Shares,Finance,Property-Casualty Insurers,3604528999.0,36.16,Bermuda,2023,26,A-,70.12987012987013,,999.0,,-1.0705523277381657,diluted,94,182
PLGO,25.579999923706055,6.863554689079212,0.0,439395.74,-18.231569564147343,1.8717614573085184,0.005629992922463838,721,87,B,Pelagos Insurance Capital Limited Common Shares,Finance,Property-Casualty Insurers,2212162109.0,25.58,Bermuda,2023,26,A-,999.0,,100.95695236954528,,-6.921786857752705,diluted,98,185
TRV,387.260009765625,6.873089854420225,0.0,1928844.1,9.423306943262034,2.89343326772018,0.013038067719146907,721,87,A-,The Travelers Companies Inc. Common Stock,Finance,Property-Casualty Insurers,80772763020.0,387.26,United States,,26,A-,357.64705882352945,,32.58155699339016,,0.9652836579170194,diluted,94,181
UVE,41.61000061035156,6.976221494904866,-3.255051768929562,205379.44,49.806621344376055,10.42993703117341,0.005269855039777647,721,88,B,UNIVERSAL INSURANCE HOLDINGS INC Common Stock,Finance,Property-Casualty Insurers,1161381620.0,41.61,United States,,26,A-,38.88888888888889,768.0,999.0,999.0,-0.3297312766070601,reported,90,178
VCYT,56.61000061035156,8.614284488844445,-6.41428494040931,1263912.18,-53.35838918808425,-2.194195636363394,0.008547343966577643,721,95,B+,Veracyte Inc. Common Stock,Health Care,Medical Specialities,4517061747.0,56.61,United States,2013,26,A-,67.74193548387098,47.222222222222236,999.0,999.0,21.488036480218042,reported,87,182
LTH,42.33000183105469,7.652704971055263,-1.1904722682462343,2752719.66,-60.86477618283877,0.9539745360543916,0.008631625523437658,721,92,B+,Life Time Group Holdings Inc. Common Stock,Consumer Discretionary,Hotels/Resorts,9422773900.0,42.33,United States,2021,29,A-,7.6923076923076845,25.925925925925924,999.0,0.16968688284499284,11.70739376325171,reported,91,183
XHR,21.489999771118164,7.443134469505682,0.0,821136.0,-54.7821554529335,2.1873469779045918,0.004647967821431899,721,91,B,Xenia Hotels & Resorts Inc. Common Stock,Consumer Discretionary,Hotels/Resorts,1982362994.0,21.49,United States,2015,29,A-,75.00000000000001,66.66666666666669,999.0,999.0,2.2431271566866373,reported,89,180
FTI,76.75,7.9488498278719915,-0.24383290370786348,4958528.06,-58.95751772754917,0.960278070467635,0.0013135955779117509,721,93,C-,TechnipFMC plc Ordinary Share,Consumer Discretionary,Oil and Gas Field Machinery,30600370595.0,76.75,,,30,B+,93.93939393939394,29.629629629629612,63.25501356637986,0.33253761856703035,11.600107449856733,reported,93,186
DGII,66.94999694824219,7.620098545195356,-10.673782956288203,395886.9,-37.19292050330537,1.7477110078244262,0.0018978914286081243,721,92,C,Digi International Inc. Common Stock,Telecommunications,Computer Communications Equipment,2524162223.0,66.95,United States,1989,31,B+,21.56862745098039,12.00000000000001,14.7688952422542,0.041883885320017314,25.109327004966364,reported,87,179
ATI,197.8000030517578,8.622758729842282,-3.0819704047224006,1690700.2,-25.752064144784505,-1.0208133124079866,0.0041309389672153085,721,95,B-,ATI Inc. Common Stock,Industrials,Steel/Iron Ore,26993850461.0,197.8,United States,,37,B+,38.88888888888889,17.72151898734177,999.0,0.10302626408478688,0.6204124432016778,reported,97,192
CRS,603.6900024414062,9.27394548728775,-2.512716602114451,723535.06,-65.32953081776023,0.35742003733703065,0.0048796908867219085,721,96,B,Carpenter Technology Corporation Common Stock,Industrials,Steel/Iron Ore,29994707108.0,603.69,United States,,37,B+,47.3404255319149,40.361445783132545,999.0,0.12987924813129506,11.623108665749655,reported,98,194
