symbol,price,rs_raw,pct_off_high,adv50,vol_pct_chg,price_day_chg,ad_raw,history_days,rs_rating,ad_rating,name,sector,industry,market_cap,last_sale,country,ipo_year,industry_rank,group_grade,eps_q0_growth,eps_q1_growth,eps_annual_growth,eps_stability,sales_growth,eps_source,eps_rating,eps_rs_sum
ALAB,412.9700012207031,14.953650987662803,-14.502502874883294,6163548.0,-64.97147422231481,-1.0731850174449886,0.017003334862485082,578,98,A-,Astera Labs Inc. Common Stock,Technology,Semiconductors,70786336569.0,412.97,United States,2024,1,A+,84.84848484848484,56.756756756756744,82.41841955338862,0.23027622755064828,93.40010787621831,reported,96,194
AMD,557.8900146484375,14.039819947451212,-3.962741140676951,34849044.0,-40.732090096933504,2.0431015042210676,0.011201202477123695,719,98,B+,Advanced Micro Devices Inc. Common Stock,Technology,Semiconductors,909695790492.0,557.89,United States,,1,A+,42.70833333333335,40.36697247706421,22.95199352590913,0.25402358308313217,37.84619521376714,reported,90,188
ASX,42.65999984741211,13.907088684418353,-4.50101442015457,11068244.0,-38.930692167610324,-1.364162202515351,0.004292225963264487,719,98,C+,ASE Technology Holding Co. Ltd. American Depositary Shares (each representing Two Common Shares),Technology,Semiconductors,94999502424.0,42.66,Taiwan,2018,1,A+,100.0,61.53846153846153,5.511819868320456,0.2128251907914098,17.21790641369746,reported,90,188
CRDO,257.7900085449219,11.125780946932842,-14.785793366774358,8658906.0,-54.20899591703616,-2.9587749038779587,-2.435078483987295e-05,719,97,D,Credo Technology Group Holding Ltd Ordinary Shares,Technology,Semiconductors,48072137325.0,257.79,United States,2022,1,A+,231.42857142857142,328.0,174.34255132299023,999.0,157.02279076606382,reported,91,188
ESOA,16.84000015258789,7.754991921990962,-12.926576940411627,153568.0,-27.32861012710981,1.5681557905804722,-0.0019878022222463198,719,89,D-,Energy Services of America Corporation Common Stock,Industrials,Water Sewer Pipeline Comm & Power Line Construction,314228994.0,16.84,United States,,1,A+,999.0,219.99999999999997,999.0,999.0,21.510789810387962,reported,95,184
LSCC,137.44000244140625,8.707771187448314,-11.483223636528916,2268362.0,-52.525214229474834,-1.4978831478358323,0.002299632467916223,719,93,C-,Lattice Semiconductor Corporation Common Stock,Technology,Semiconductors,18830359866.0,137.44,United States,,1,A+,86.36363636363636,113.33333333333336,10.17520254037143,0.3405732063558458,42.236371202663335,reported,90,183
SIMO,326.3500061035156,15.804120410081865,-3.131489458029002,1132194.0,-53.15290489085793,0.6445433525402278,0.015263945581849028,719,98,A-,Silicon Motion Technology Corporation American Depositary Shares,Technology,Semiconductors,11065821952.0,326.35,Taiwan,2005,1,A+,163.33333333333334,38.46153846153846,5.055546909026742,0.2532754043414205,105.47834130168417,reported,87,185
TSM,434.1099853515625,7.131520954919152,-9.100241075891425,13651686.0,-29.873130688766203,-0.6522350236288443,0.0015025211006950933,719,86,C-,Taiwan Semiconductor Manufacturing Company Ltd.,Technology,Semiconductors,2251513643875.0,434.11,Taiwan,1997,1,A+,64.62264150943396,40.178571428571416,27.197757030247296,0.062280892195745126,35.1323787607557,reported,97,183
BHE,85.05999755859375,9.101144382237852,-13.79345379843645,530488.0,-59.24507246158255,-0.23458195241087276,-0.00040655450462620546,719,94,D,Benchmark Electronics Inc. Common Stock,Technology,Electrical Products,3051700682.0,85.06,United States,,3,A+,11.538461538461526,16.393442622950815,21.216419238019512,0.0783048164553085,7.204589055406766,reported,87,181
ARW,206.41000366210938,7.756215709867968,-12.102371054526373,735042.0,-41.30947619319713,0.5455747540580314,0.0012039155801763224,719,89,D+,Arrow Electronics Inc. Common Stock,Technology,Electronic Components,10554557794.0,206.41,United States,,5,A+,190.0,47.81144781144779,8.342411503229808,0.3180828749692879,39.030295932634154,reported,89,178
