symbol,price,rs_raw,pct_off_high,adv50,vol_pct_chg,price_day_chg,ad_raw,history_days,rs_rating,ad_rating,name,sector,industry,market_cap,last_sale,country,ipo_year,industry_rank,group_grade,eps_q0_growth,eps_q1_growth,eps_annual_growth,eps_stability,sales_growth,eps_source,eps_rating,eps_rs_sum
ARW,213.99000549316406,7.160772648603846,-8.87450333236538,594409.6,-29.78242612501547,2.2945661818146723,-0.0019655085050247567,718,86,D-,Arrow Electronics Inc. Common Stock,Technology,Electronic Components,10893251468.0,213.99,United States,,1,A+,190.0,47.81144781144779,8.342411503229808,0.31808287496928783,39.030295932634154,reported,88,174
AVT,95.70999908447266,7.5556938511185034,-1.7351154157397186,1292100.9,-33.41502973955052,-0.29169578656961237,0.005549545667740101,721,89,B-,Avnet Inc. Common Stock,Technology,Electronic Components,7850524793.0,95.71,United States,,1,A+,181.48148148148144,76.1904761904762,15.914278608818,0.3081857680867265,33.94567092778881,reported,93,182
P,118.16000366210938,7.823662445320363,0.0,2950962.54,4.478689858258922,0.6902472931577419,0.017092789197125004,721,90,A-,Everpure Inc. Class A common stock,Technology,Electronic Components,39276966765.0,118.16,United States,2015,1,A+,62.06896551724138,53.33333333333332,47.73032241045667,0.21805045407165008,35.249362543915424,reported,95,185
BELFB,290.0799865722656,7.186382290358293,-12.87753128436826,295367.98,-55.31032172139986,1.423019009011539,0.00189477788401651,718,86,C-,Bel Fuse Inc. Class B Common Stock,Industrials,Electrical Products,4188595656.0,290.08,United States,,3,A+,73.65269461077844,34.07407407407407,46.017453677080724,0.19146245412488594,25.1849387102716,reported,94,180
LFUS,457.57000732421875,7.049062418252103,-6.4465341210042215,352144.66,-44.61565880340198,1.682223849826392,0.0027596591594645148,718,85,C,Littelfuse Inc. Common Stock,Energy,Electrical Products,11621704665.0,457.57,United States,,3,A+,51.14155251141553,31.862745098039213,8.71568276707646,0.19515779180835202,20.43778009269448,reported,86,171
TER,418.7900085449219,9.746865000499307,-13.4445246952137,4395551.32,-58.26766959463006,2.01452298367244,0.004635758200907738,721,95,B-,Teradyne Inc. Common Stock,Industrials,Electrical Products,65473942693.0,418.79,United States,,3,A+,333.3333333333334,241.33333333333334,7.700338948162888,0.3509936563469523,103.89630513794938,reported,92,187
FIX,1774.06005859375,7.50158206947798,-14.107420717906427,506113.08,-40.55597219498852,2.686904884797925,-0.004211621121790778,721,88,E+,Comfort Systems USA Inc. Common Stock,Industrials,Engineering & Construction,62436851306.0,1774.06,United States,1997,4,A+,91.8836140888208,121.26315789473682,60.564111241581784,0.10209917704248361,50.26123638545469,reported,99,187
IESC,756.1799926757812,7.8481177672158084,-3.5521645320230832,254647.2,-49.35738543365095,1.0341497259803267,-0.002427769993556188,718,90,D-,IES Holdings Inc. Common Stock,Industrials,Engineering & Construction,15066399520.0,756.18,United States,,4,A+,55.42857142857144,,118.4921375723075,,39.604092756566814,diluted,91,181
ANET,198.82000732421875,7.075768726482555,-5.548690107259501,8120136.76,-42.096566363741886,-2.3573263471528216,0.009054160044238133,721,85,B+,Arista Networks Inc. Common Stock,Telecommunications,Computer Communications Equipment,250756684515.0,198.82,United States,,5,A+,33.84615384615384,26.153846153846143,39.50237529477221,0.03504916947431183,37.68595791001451,reported,96,181
DGII,85.12000274658203,9.670126623278339,-0.14077325222282555,397440.92,-33.33701019009315,-0.023486778493964078,0.009404709164277473,718,95,B+,Digi International Inc. Common Stock,Telecommunications,Computer Communications Equipment,3230144230.0,85.12,United States,1989,5,A+,21.56862745098039,12.00000000000001,14.7688952422542,0.041883885320017314,25.109327004966364,reported,87,182
