symbol,price,rs_raw,pct_off_high,adv50,vol_pct_chg,price_day_chg,ad_raw,history_days,rs_rating,ad_rating,name,sector,industry,market_cap,last_sale,country,ipo_year,industry_rank,group_grade,eps_q0_growth,eps_q1_growth,eps_annual_growth,eps_stability,sales_growth,eps_source,eps_rating,eps_rs_sum
DK,81.55000305175781,10.76885213230904,0.0,1556434.0,27.75999496284456,3.0192007062683324,0.013905919319880718,718,98,A-,Delek US Holdings Inc. Common Stock,Energy,Integrated oil Companies,4783457433.0,78.12,United States,2017,1,A+,999.0,999.0,999.0,999.0,47.83332127613398,reported,97,195
MPC,421.9599914550781,9.90282111619036,0.0,2361244.0,14.117812475119052,1.9423989578961187,0.0099032519193767,718,97,A-,Marathon Petroleum Corporation Common Stock,Energy,Integrated oil Companies,119319633551.0,424.89,United States,,1,A+,347.7272727272727,999.0,999.0,999.0,53.83295363768159,reported,95,192
PSX,274.2099914550781,9.005895532057925,0.0,2710378.0,31.889352702833328,3.620143746174209,0.008350847992450814,718,95,B+,Phillips 66 Common Stock,Energy,Integrated oil Companies,108984582787.0,273.13,United States,,1,A+,295.37815126050424,999.0,999.0,999.0,53.05944842901299,reported,95,190
VLO,412.5299987792969,10.282866209204142,0.0,2741008.0,19.07298336962169,2.29369173477465,0.008896991337335307,718,97,A-,Valero Energy Corporation Common Stock,Energy,Integrated oil Companies,118994661082.0,413.28,United States,,1,A+,450.0,374.15730337078645,999.0,0.8075473358800657,48.80390779216434,reported,98,195
ASC,19.0,7.170449574207568,-0.3147925898402737,589174.0,-7.871019427198078,-0.3147925898402737,0.004562442072203046,718,90,B,Ardmore Shipping Corporation Common Stock,Consumer Discretionary,Marine Transportation,777289797.0,19.05,,2013,2,A+,436.3636363636363,314.2857142857142,999.0,0.6421637127750405,61.30527718402132,reported,98,188
DAC,162.39999389648438,7.5355643450306165,0.0,120266.0,40.43869422779505,2.0356811760656734,0.005069648714440757,718,91,B,Danaos Corporation Common Stock,Consumer Discretionary,Marine Transportation,2934218135.0,161.19,Greece,2006,2,A+,14.622641509433956,11.258278145695359,21.88916147739195,0.054254446318154424,4.659856420272054,reported,89,180
DHT,22.81999969482422,8.232560529791044,-0.9548663713587757,3278960.0,66.40337180081491,-0.9548663713587757,0.0075521786318040315,718,94,B+,DHT Holdings Inc.,Consumer Discretionary,Marine Transportation,3747438893.0,23.27,Jersey,2005,2,A+,251.42857142857147,,52.41341375947244,,122.11727298232489,diluted,95,189
ECO,86.30000305175781,11.911568539440843,0.0,560388.0,75.87814157333848,1.8409313515634018,0.017872961530215708,718,98,A,Okeanis Eco Tankers Corp. Common Stock,Consumer Discretionary,Marine Transportation,3316843442.0,84.95,,,2,A+,612.0481927710844,497.43589743589746,119.40957388322819,0.6548037244326075,239.39574676115188,reported,98,196
HSHP,19.329999923706055,9.267497456682296,0.0,350888.0,90.4311347210506,6.560091367680476,0.00856005766192591,718,96,B+,Himalaya Shipping Ltd. Common Shares,Consumer Discretionary,Marine Transportation,899002500.0,19.23,,2023,2,A+,2500.0,,999.0,,79.59866220735786,diluted,99,195
INSW,110.52999877929688,9.935682073022171,0.0,566046.0,16.456966394957306,1.0513819297458094,0.007898034614595806,718,97,B+,International Seaways Inc. Common Stock,Consumer Discretionary,Marine Transportation,5505405218.0,111.15,United States,2016,2,A+,479.41176470588243,387.49999999999994,999.0,0.5707783176542611,138.849218722047,reported,99,196
LPG,58.310001373291016,9.314154985647715,0.0,585304.0,-6.3050995721881335,0.7777406812867316,0.0062670894666489296,718,96,B+,Dorian LPG Ltd. Common Stock,Consumer Discretionary,Marine Transportation,2487812900.0,58.15,United States,2014,2,A+,656.0,158.13953488372096,21.356556814156626,0.7666322418350875,123.10944266519084,reported,94,190
NVGS,25.059999465942383,6.604426709067115,0.0,420572.0,72.0038423860837,2.3274793799566984,0.005590100625204052,718,85,B+,Navigator Holdings Ltd. Ordinary Shares (Marshall Islands),Consumer Discretionary,Marine Transportation,1542499275.0,25.0,Marshall Islands,2013,2,A+,174.1935483870968,,28.6735890232801,,29.54526169630115,diluted,93,178
SHIP,18.809999465942383,8.341954610362013,-0.5813985724523851,316112.0,113.72171888444602,2.8993367581439333,0.007088518956874972,718,94,B+,Seanergy Maritime Holdings Corp. Common Stock,Consumer Discretionary,Marine Transportation,402811801.0,18.59,Greece,,2,A+,764.2857142857141,,1.706813252715933,,48.58187251527522,diluted,86,180
TNK,100.81999969482422,8.098649369127964,-0.009919801694768804,432834.0,-14.955849124606658,0.18881292516361725,0.005990600498678313,718,94,B+,Teekay Tankers Ltd.,Consumer Discretionary,Marine Transportation,3496258149.0,100.92,Bermuda,2007,2,A+,259.44444444444446,,14.775264895537665,,62.972696744050225,diluted,91,185
ARW,215.02000427246094,7.025646129711249,-8.435888687189886,562974.0,-30.494125838848685,1.5682604497299302,-0.0007262136190250427,718,89,D+,Arrow Electronics Inc. Common Stock,Technology,Electronic Components,11164068318.0,219.31,United States,,3,A+,124.27983539094649,190.0,8.855238812645227,0.32783592613121804,31.824628852945807,reported,91,180
AVT,93.12000274658203,7.35510879635267,-6.534171119444254,1176548.0,8.894834719875423,0.4205751919875045,0.0031255016052456884,718,91,B-,Avnet Inc. Common Stock,Technology,Electronic Components,7888854741.0,96.12,United States,,3,A+,181.48148148148144,76.1904761904762,15.914278608818,0.3081857680867265,47.662508154889956,reported,93,184
P,103.98999786376953,7.165786750527738,-11.992218482711314,2937156.0,10.246102011605785,6.536212696981969,0.005547754862112594,718,89,B+,Everpure Inc. Class A common stock,Technology,Electronic Components,34702285919.0,104.14,United States,2015,3,A+,62.06896551724138,53.33333333333332,47.73032241045667,0.21805045407165008,37.73463940850312,reported,96,185
