symbol,price,rs_raw,pct_off_high,adv50,vol_pct_chg,price_day_chg,ad_raw,history_days,rs_rating,ad_rating,name,sector,industry,market_cap,last_sale,country,ipo_year,industry_rank,group_grade,eps_q0_growth,eps_q1_growth,eps_annual_growth,eps_stability,sales_growth,eps_source,eps_rating,eps_rs_sum
DK,74.88999938964844,9.468517553793804,-1.0307900068338927,1471258.0,39.92107434589991,-0.51806508497938,0.012274546274261094,718,97,A-,Delek US Holdings Inc. Common Stock,Energy,Integrated oil Companies,4659768441.0,76.1,United States,2017,1,A+,999.0,999.0,999.0,999.0,47.83332127613398,reported,97,194
MPC,392.4200134277344,9.00237702388834,-1.757457683448127,2266302.0,13.303522654968326,-1.757457683448127,0.007795721286415651,718,96,B+,Marathon Petroleum Corporation Common Stock,Energy,Integrated oil Companies,111186948415.0,395.93,United States,,1,A+,347.7272727272727,999.0,999.0,999.0,53.83295363768159,reported,95,191
PSX,258.510009765625,8.314479990194478,-0.8704613176998333,2659564.0,10.63467545808261,-0.8704613176998333,0.006829921328909112,718,94,B+,Phillips 66 Common Stock,Energy,Integrated oil Companies,103533957075.0,259.47,United States,,1,A+,295.37815126050424,999.0,999.0,999.0,53.05944842901299,reported,95,189
VLO,385.42999267578125,9.367859979259364,-0.9050056358852476,2622812.0,20.39749703753071,-0.9050056358852476,0.007194191898491182,718,97,B+,Valero Energy Corporation Common Stock,Energy,Integrated oil Companies,112412639324.0,390.42,United States,,1,A+,450.0,374.15730337078645,999.0,0.8075473358800658,48.80390779216434,reported,98,195
ARW,213.44000244140625,7.064050409209132,-9.108716613236323,570046.0,58.51352347003576,-0.6007513211007676,-0.001213811459829825,718,89,D+,Arrow Electronics Inc. Common Stock,Technology,Electronic Components,11616617529.0,228.2,United States,,2,A+,124.27983539094649,190.0,8.855238812645227,0.32783592613121804,31.824628852945807,reported,92,181
AVT,92.97000122070312,7.426603141116791,-5.359728534198371,1125598.0,0.8441734971099901,1.3407492757522288,0.002819430556956192,718,91,B-,Avnet Inc. Common Stock,Technology,Electronic Components,8176930898.0,99.63,United States,,2,A+,181.48148148148144,76.1904761904762,15.914278608818,0.3081857680867265,47.662508154889956,reported,93,184
ASC,18.459999084472656,6.943678230367274,0.0,596508.0,-36.59766507741723,1.2616541306183393,0.004285107071136431,718,88,B,Ardmore Shipping Corporation Common Stock,Consumer Discretionary,Marine Transportation,761784803.0,18.67,,2013,3,A+,436.3636363636363,314.2857142857142,999.0,0.6421637127750405,61.30527718402132,reported,99,187
DAC,156.88999938964844,7.173222539573214,0.0,113196.0,19.703876462065793,1.4221972419164564,0.004225325363924156,718,90,B,Danaos Corporation Common Stock,Consumer Discretionary,Marine Transportation,2900359672.0,159.33,Greece,2006,3,A+,14.622641509433956,11.258278145695359,21.88916147739195,0.05425444631815446,4.659856420272054,reported,88,178
DHT,21.43000030517578,7.973436789359171,0.0,3066876.0,18.475608404121992,1.0849034620715736,0.0061560072030865665,718,93,B+,DHT Holdings Inc.,Consumer Discretionary,Marine Transportation,3542916014.0,22.0,Jersey,2005,3,A+,251.42857142857147,,52.41341375947244,,122.11727298232489,diluted,95,188
ECO,72.91999816894531,10.30242618643623,0.0,501072.0,2.580068333493002,1.7441049699114197,0.009355685717042279,718,97,A-,Okeanis Eco Tankers Corp. Common Stock,Consumer Discretionary,Marine Transportation,2973250478.0,76.15,,,3,A+,497.43589743589746,334.1463414634147,54.31154503608444,0.5667009888310601,239.39574676115188,reported,97,194
