symbol,price,rs_raw,pct_off_high,adv50,vol_pct_chg,price_day_chg,ad_raw,history_days,rs_rating,ad_rating,name,sector,industry,market_cap,last_sale,country,ipo_year,industry_rank,group_grade,eps_q0_growth,eps_q1_growth,eps_annual_growth,eps_stability,sales_growth,eps_source,eps_rating,eps_rs_sum
MPC,390.95001220703125,9.206000896539042,-7.987950121512954,2656530.0,-21.318411612140654,0.6617249322591112,0.0035193395050200837,718,96,B,Marathon Petroleum Corporation Common Stock,Energy,Integrated oil Companies,109788441095.0,390.95,United States,,1,A+,347.7272727272727,999.0,999.0,999.0,53.83295363768159,reported,95,191
PSX,255.8699951171875,8.441126845166245,-6.688303456985856,2933522.0,-6.235576211802741,-0.2378414858899669,0.0036413098786944238,718,95,B,Phillips 66 Common Stock,Energy,Integrated oil Companies,102097481777.0,255.87,United States,,1,A+,295.37815126050424,999.0,999.0,999.0,53.05944842901299,reported,95,190
VLO,382.8599853515625,9.330390935605248,-7.360630448506056,3059476.0,21.72672706045087,1.8678131870139447,0.002246377144591659,718,96,B-,Valero Energy Corporation Common Stock,Energy,Integrated oil Companies,110235907718.0,382.86,United States,,1,A+,450.0,374.15730337078645,999.0,0.8075473358800658,48.80390779216434,reported,98,194
ARW,227.3300018310547,7.425229893867099,-3.1937997451432,565114.0,-21.414086361335936,0.2248454679339318,0.0015136112780285928,718,91,B-,Arrow Electronics Inc. Common Stock,Technology,Electronic Components,11572329811.0,227.33,United States,,2,A+,124.27983539094649,190.0,8.855238812645227,0.32783592613121804,31.824628852945807,reported,91,182
AVT,100.91000366210938,7.878043175097126,-0.23726926361749,1234254.0,24.585377077975856,-0.23726926361749,0.0069159877345039466,718,93,B+,Avnet Inc. Common Stock,Technology,Electronic Components,8281984311.0,100.91,United States,,2,A+,181.48148148148144,76.1904761904762,15.914278608818,0.3081857680867265,47.662508154889956,reported,93,186
NTAP,197.24000549316406,7.872043002488042,-4.751784938614467,2417426.0,-2.880170892511291,0.4635071836307736,0.0045737937304046634,718,93,B,NetApp Inc. Common Stock,Technology,Electronic Components,38741684546.0,197.24,United States,1995,2,A+,66.45161290322581,25.90673575129535,15.480068178804851,0.10608655428338361,29.890955740859525,reported,93,186
P,121.87999725341797,8.45271924901137,0.0,4719630.0,147.15284884620195,11.15366671896727,0.018240962570331597,718,95,A,Everpure Inc. Class A common stock,Technology,Electronic Components,40613737352.0,121.88,United States,2015,2,A+,62.790697674418595,62.06896551724138,39.61448827076153,0.22616978814179356,37.73463940850312,reported,95,190
ASC,17.829999923706055,6.898013090010606,-6.453303130643673,588906.0,10.34019011523062,1.2492862335573784,0.0011873462621603296,718,88,C+,Ardmore Shipping Corporation Common Stock,Consumer Discretionary,Marine Transportation,727510608.0,17.83,,2013,5,A+,436.3636363636363,314.2857142857142,999.0,0.6421637127750405,61.30527718402132,reported,98,186
DAC,154.66000366210938,7.270559048581873,-4.766004018022663,123636.0,24.316542107476778,0.15542384147775312,0.0023299621965195577,718,90,B-,Danaos Corporation Common Stock,Consumer Discretionary,Marine Transportation,2815349444.0,154.66,Greece,2006,5,A+,14.622641509433956,11.258278145695359,21.88916147739195,0.05425444631815446,4.659856420272054,reported,89,179
DHT,21.68000030517578,7.846230766218717,-6.832832493810336,3414712.0,47.593706292067964,1.8796973948468798,0.0036039229032862113,718,93,B,DHT Holdings Inc.,Consumer Discretionary,Marine Transportation,3491382690.0,21.68,Jersey,2005,5,A+,251.42857142857147,,52.41341375947244,,122.11727298232489,diluted,95,188
