symbol,price,rs_raw,pct_off_high,adv50,vol_pct_chg,price_day_chg,ad_raw,history_days,rs_rating,ad_rating,name,sector,industry,market_cap,last_sale,country,ipo_year,industry_rank,group_grade,eps_q0_growth,eps_q1_growth,eps_annual_growth,eps_stability,sales_growth,eps_source,eps_rating,eps_rs_sum
AMD,534.3900146484375,12.948028559735151,-8.00811840848178,34406274.5,-34.55924732565858,-4.212299805152253,0.009697222917365505,720,98,B+,Advanced Micro Devices Inc. Common Stock,Technology,Semiconductors,909695790492.0,557.89,United States,,2,A+,42.70833333333335,40.36697247706421,22.95199352590913,0.25402358308313217,37.84619521376714,reported,91,189
ASX,40.560001373291016,13.071289797290182,-9.20208626064014,11028791.46,-33.858818289778426,-4.922640603920414,0.002516831140884996,720,98,C,ASE Technology Holding Co. Ltd. American Depositary Shares (each representing Two Common Shares),Technology,Semiconductors,94999502424.0,42.66,Taiwan,2018,2,A+,100.0,61.53846153846153,5.511819868320456,0.21282519079140985,17.21790641369746,reported,90,188
SIMO,299.510009765625,14.75502784362298,-11.098244229220079,1055170.42,-50.442033809097865,-8.224297789465096,0.0130832979331805,720,98,A-,Silicon Motion Technology Corporation American Depositary Shares,Technology,Semiconductors,11065821952.0,326.35,Taiwan,2005,2,A+,163.33333333333334,38.46153846153846,5.055546909026742,0.2532754043414205,105.47834130168417,reported,88,186
UMC,23.459999084472656,14.013854454566104,-14.770656505497382,17931158.26,3.1172260703698607,-3.6154521881614277,0.009685494090455236,720,98,B+,United Microelectronics Corporation (NEW) Common Stock,Technology,Semiconductors,61279145087.0,24.34,Taiwan,,2,A+,100.0,30.0,3.843859492360835,0.24633639103271382,5.4943005626596415,reported,85,183
ARW,201.77999877929688,7.520156007594162,-14.074012176491479,725627.72,-55.2406845758318,-2.2431107023241803,0.000591255471198077,720,89,D+,Arrow Electronics Inc. Common Stock,Technology,Electronic Components,10554557794.0,206.41,United States,,6,A+,190.0,47.81144781144779,8.342411503229808,0.31808287496928783,39.030295932634154,reported,89,178
AVT,85.1500015258789,7.493609841464748,-8.371891481489179,1389925.5,-25.299953126984143,-2.2724615975600604,0.002818118801471921,720,89,C,Avnet Inc. Common Stock,Technology,Electronic Components,7146758178.0,87.13,United States,,6,A+,76.1904761904762,20.689655172413797,13.491846361759642,0.23851752915996444,33.94567092778881,reported,87,176
DK,58.0099983215332,8.670179110522518,0.0,1195894.92,-34.78139366960434,4.503693164462241,0.009511907974556241,720,93,B+,Delek US Holdings Inc. Common Stock,Energy,Integrated oil Companies,3402071456.0,55.51,United States,2017,6,A+,999.0,999.0,999.0,999.0,0.4239373178394338,reported,96,189
MPC,296.8800048828125,7.624661481965626,0.0,2404421.0,-12.995685863665308,4.631005533475774,0.004358523224391037,720,90,C+,Marathon Petroleum Corporation Common Stock,Energy,Integrated oil Companies,82834100815.0,283.74,United States,,6,A+,999.0,428.57142857142856,999.0,999.0,8.512866072278454,reported,95,185
PSX,198.2899932861328,6.977436472691256,0.0,2598729.68,18.68044697900244,5.271816013805819,0.005173824591159547,720,85,B-,Phillips 66 Common Stock,Energy,Integrated oil Companies,75520120367.0,188.36,United States,,6,A+,999.0,999.0,999.0,999.0,6.933946763062767,reported,96,181
PGC,46.310001373291016,7.244235423446538,-4.179599381818589,164351.72,16.44903990052553,0.19472122503445544,0.00010916447434959706,720,87,D,Peapack-Gladstone Financial Corporation Common Stock,Finance,Commercial Banks,818943431.0,46.22,United States,,8,A+,86.04651162790698,41.99999999999999,2.89698371135505,0.23438360280493303,28.424216401889225,reported,87,174
VBNK,21.75,7.695607370124782,-8.23010364374307,100621.56,110.37042160745672,-0.04595693371621801,0.02601222337527776,720,90,A,VersaBank Common Shares,Finance,Commercial Banks,700578367.0,21.76,Canada,,8,A+,47.36842105263159,47.36842105263159,7.820272807754569,0.25099516080407774,27.054646803145427,reported,87,177
ECO,54.20000076293945,8.31909086213009,-4.307907226345986,465168.12,-50.40373790018112,-1.3469200623710709,0.0006758202324640246,720,93,D+,Okeanis Eco Tankers Corp. Common Stock,Consumer Discretionary,Marine Transportation,2145113346.0,54.94,,,9,A+,497.43589743589746,334.1463414634147,54.31154503608444,0.5667009888310601,112.3144119056663,reported,97,190
FRO,36.91999816894531,7.812099002915696,-13.899260146244885,3091899.6,-25.528629713590956,-3.173361828677579,-0.0005587286557476398,720,90,D,Frontline Plc Ordinary Shares,Consumer Discretionary,Marine Transportation,8488610758.0,38.13,Bermuda,,9,A+,1573.3333333333333,,-8.373967292582096,,66.93123548026718,diluted,89,179
GNK,25.350000381469727,6.973100525196923,-5.039052326867067,355824.4,-15.823647844273758,-0.6272044138633914,0.002177747802147959,720,85,C-,Genco Shipping & Trading Limited Ordinary Shares New (Marshall Islands),Consumer Discretionary,Marine Transportation,1111650571.0,25.51,United States,,9,A+,999.0,34.482758620689665,999.0,999.0,60.55928945263719,reported,91,176
HSHP,15.029999732971191,8.42013048169763,-3.521191599000295,332705.6,10.241606994291663,-1.6361256830427107,3.224587939967254e-05,720,93,D,Himalaya Shipping Ltd. Common Shares,Consumer Discretionary,Marine Transportation,714340000.0,15.28,,2023,9,A+,999.0,,999.0,,52.72727272727272,diluted,99,192
SHIP,14.789999961853027,7.842214432353742,-10.060603565113457,239858.92,12.04336282344638,-1.136364143452251,0.0009522969775844912,720,91,D+,Seanergy Maritime Holdings Corp. Common Stock,Consumer Discretionary,Marine Transportation,324156242.0,14.96,Greece,,9,A+,999.0,,1.706813252715933,,77.03461951582253,diluted,90,181
DELL,427.1099853515625,14.465124938169412,-8.337627010035053,9294849.98,-56.27902538777716,-1.8070248171327297,0.014818477471173768,720,98,A-,Dell Technologies Inc. Class C Common Stock,Technology,Computer Manufacturing,281907532845.0,434.97,United States,2018,12,A,213.5483870967742,45.14925373134328,9.24240097757516,0.2456026314663182,87.53528958850201,reported,91,189
DVA,235.5800018310547,8.716572518971306,-0.05515458788744043,931367.02,-50.10012272068642,1.1941575355902456,0.008339641347965646,720,94,B,DaVita Inc. Common Stock,Health Care,Misc Health and Biotechnology Services,14945760000.0,232.8,United States,,13,A,43.50000000000001,51.78571428571427,9.328053278557945,0.14395980460784877,5.9567945565248515,reported,91,185
PGNY,31.979999542236328,7.9982498451357475,0.0,1577420.14,-27.843763932163302,4.339314650111659,0.009612401481412148,720,91,B+,Progyny Inc. Common Stock,Health Care,Misc Health and Biotechnology Services,2400887141.0,30.65,United States,2019,13,A,70.58823529411762,,29.398934610938454,,1.3782334170683685,diluted,89,180
DGII,66.2300033569336,7.726218430610569,-11.634414871731503,394313.82,67.85894037393871,-2.1568902818942304,0.0031097831462521862,720,90,C,Digi International Inc. Common Stock,Telecommunications,Computer Communications Equipment,2552061850.0,67.69,United States,1989,15,A,21.56862745098039,12.00000000000001,14.7688952422542,0.041883885320017314,25.109327004966364,reported,88,178
FNRN,18.18000030517578,7.1447300761084955,-1.1956484669322198,200661.14,-11.713349181610354,0.05503703269040816,-0.0009021244035240279,720,86,D,First Northern Community Bancorp Common stock,Finance,Savings Institutions,298115299.0,18.17,United States,,15,A,72.56503544773436,,13.369638718613208,,9.488750147249382,diluted,85,171
ALGT,106.88999938964844,7.19405902580598,-10.297082825923553,668132.08,-22.02080762234916,-3.720048079893279,0.011442702376714648,720,87,B+,Allegiant Travel Company Common Stock,Consumer Discretionary,Air Freight/Delivery Services,2046907936.0,111.02,United States,2006,18,A,108.28729281767954,35.714285714285715,999.0,999.0,4.771740902965924,reported,88,175
